case_id,source_directory,step_height_m,nominal_length_group,replicate_label
flat_1.145_r1,"60,30(0.33m),1.145",0,1.145,1
flat_1.145_r2,"60,30(0.33m),1.145-2",0,1.145,2
flat_1.145_r3,"60,30(0.33m),1.145-3",0,1.145,3
raised_1.145_r1,"60,30(0.33m),0.01m,1.145",0.01,1.145,1
raised_1.145_r2,"60,30(0.33m),0.01m,1.145-2",0.01,1.145,2
raised_1.145_r3,"60,30(0.33m),0.01m,1.145-3",0.01,1.145,3
flat_1.28_r1,"60,30(0.33m),1.28",0,1.28,1
flat_1.28_r2,"60,30(0.33m),1.28-2",0,1.28,2
flat_1.28_r3,"60,30(0.33m),1.28-3",0,1.28,3
raised_1.28_r1,"60,30(0.33m),0.01m,1.28",0.01,1.28,1
raised_1.28_r2,"60,30(0.33m),0.01m,1.28-2",0.01,1.28,2
raised_1.28_r3,"60,30(0.33m),0.01m,1.28-3",0.01,1.28,3
