case_id,controller,entrypoint,candidate_record,selected_r1_rad_s,selected_r2_rad_s,seed,grid_min_rad_s,grid_max_rad_s,grid_step_rad_s,candidate_count,successful_candidate_count
flat_L1145_r1,Continuous-torque PPO,src/paper2/entrypoints/flat_1.145_r1/Multi_continuous.py,results/paper2_push_off_grid_12case/candidates/flat_L1145_r1/continuous_torque_ppo.csv,1.05,0.65,0,0.00,1.19,0.01,14400,492
flat_L1145_r1,Unrestricted discrete PPO,src/paper2/entrypoints/flat_1.145_r1/Qi_multi_ac_discrete_sim.py,results/paper2_push_off_grid_12case/candidates/flat_L1145_r1/discrete_active_ppo.csv,0.70,0.96,0,0.00,1.19,0.01,14400,2803
flat_L1145_r1,Transition-start lookup router,src/paper2/entrypoints/flat_1.145_r1/Qi_multi_passive_sim.py,results/paper2_push_off_grid_12case/candidates/flat_L1145_r1/proposed_selector.csv,0.48,0.53,0,0.00,1.19,0.01,14400,443
flat_L1145_r2,Continuous-torque PPO,src/paper2/entrypoints/flat_1.145_r2/Multi_continuous.py,results/paper2_push_off_grid_12case/candidates/flat_L1145_r2/continuous_torque_ppo.csv,1.03,0.61,0,0.00,1.19,0.01,14400,619
flat_L1145_r2,Unrestricted discrete PPO,src/paper2/entrypoints/flat_1.145_r2/Qi_multi_ac_discrete_sim.py,results/paper2_push_off_grid_12case/candidates/flat_L1145_r2/discrete_active_ppo.csv,0.62,0.99,0,0.00,1.19,0.01,14400,2881
flat_L1145_r2,Transition-start lookup router,src/paper2/entrypoints/flat_1.145_r2/Qi_multi_passive_sim.py,results/paper2_push_off_grid_12case/candidates/flat_L1145_r2/proposed_selector.csv,0.55,0.58,0,0.00,1.19,0.01,14400,360
flat_L1145_r3,Continuous-torque PPO,src/paper2/entrypoints/flat_1.145_r3/Multi_continuous.py,results/paper2_push_off_grid_12case/candidates/flat_L1145_r3/continuous_torque_ppo.csv,0.80,0.65,0,0.00,1.19,0.01,14400,1326
flat_L1145_r3,Unrestricted discrete PPO,src/paper2/entrypoints/flat_1.145_r3/Qi_multi_ac_discrete_sim.py,results/paper2_push_off_grid_12case/candidates/flat_L1145_r3/discrete_active_ppo.csv,0.86,0.89,0,0.00,1.19,0.01,14400,2641
flat_L1145_r3,Transition-start lookup router,src/paper2/entrypoints/flat_1.145_r3/Qi_multi_passive_sim.py,results/paper2_push_off_grid_12case/candidates/flat_L1145_r3/proposed_selector.csv,0.61,0.59,0,0.00,1.19,0.01,14400,303
flat_L1280_r1,Continuous-torque PPO,src/paper2/entrypoints/flat_1.28_r1/Multi_continuous.py,results/paper2_push_off_grid_12case/candidates/flat_L1280_r1/continuous_torque_ppo.csv,1.07,0.69,0,0.00,1.19,0.01,14400,423
