eval_label,seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,reference_controller,comparison_controller,reference_policy_name,comparison_policy_name,reference_success,comparison_success,reference_valid,comparison_valid,reference_cmt,comparison_cmt,reference_support_knee_cmt,reference_hip_cmt,reference_swing_knee_cmt,comparison_support_knee_cmt,comparison_hip_cmt,comparison_swing_knee_cmt,reference_energy_j,comparison_energy_j,reference_displacement_m,comparison_displacement_m,initial_q1_deg,initial_q2_deg,initial_q3_deg,initial_q4_deg,initial_dq1_rad_s,initial_dq2_rad_s,initial_dq3_rad_s,initial_dq4_rad_s,reference_terminal_reason,comparison_terminal_reason
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,1,1.0,touchdown,0.3,0.0,active,active_full,v22_3_active_bidirectional_4Nm_grid,v22_3_active_full_4Nm_grid,True,True,True,False,4.286839787453547,nan,0.0,3.750196274788628,0.5366435126649189,nan,nan,nan,0.2852853328025296,0.26822786959244116,0.0026670035989571628,0.00037464814640161825,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,success,success
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,1,1.0,touchdown,0.3,0.0,active,per_step_sign,v22_3_active_bidirectional_4Nm_grid,v22_3_per_step_sign_4Nm_grid,True,True,True,False,4.286839787453547,nan,0.0,3.750196274788628,0.5366435126649189,nan,nan,nan,0.2852853328025296,0.26822786959244116,0.0026670035989571628,0.00037464814640161825,58.680345398453916,23.64651943546562,56.838609495413614,58.56724411403598,-0.41617978738246686,0.3732166724365158,-0.3415434093881824,0.02045006279514805,success,success
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,2,1.0,mid_cross,0.3,0.0,active,active_full,v22_3_active_bidirectional_4Nm_grid,v22_3_active_full_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.007613665072586,0.7434211496754259,0.1764460674796212,0.13485455421902257,72.8791975562144,25.430086991990727,9.963143636119923,99.69293879609181,-0.7421914594445489,-0.5355265917055565,-0.5357795649724029,0.2856667612214875,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,2,1.0,mid_cross,0.3,0.0,active,per_step_sign,v22_3_active_bidirectional_4Nm_grid,v22_3_per_step_sign_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.007613665072586,0.8674313058449616,0.1764460674796212,0.13116082623834313,72.8791975562144,25.430086991990727,9.963143636119923,99.69293879609181,-0.7421914594445489,-0.5355265917055565,-0.5357795649724029,0.2856667612214875,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,3,1.0,mid_cross,0.3,0.0,active,active_full,v22_3_active_bidirectional_4Nm_grid,v22_3_active_full_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.9018896877600848,1.763441305380412,0.047845087594918415,0.04867621859865677,61.77548911808013,33.626622868443974,-8.95613299293761,79.41234104391279,0.5952694121984281,-0.6502003662311568,-0.9961446299242014,-0.4381593725543135,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,3,1.0,mid_cross,0.3,0.0,active,per_step_sign,v22_3_active_bidirectional_4Nm_grid,v22_3_per_step_sign_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.9018896877600848,2.109210214863633,0.047845087594918415,0.04556928700055406,61.77548911808013,33.626622868443974,-8.95613299293761,79.41234104391279,0.5952694121984281,-0.6502003662311568,-0.9961446299242014,-0.4381593725543135,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,4,1.0,touchdown,0.3,0.0,active,active_full,v22_3_active_bidirectional_4Nm_grid,v22_3_active_full_4Nm_grid,True,True,True,True,0.42378948443217745,0.22925689391218929,0.013957770642741854,0.3856307011033238,0.02420101268611174,0.0,0.2056367365833553,0.023620157328834,0.13055450569355792,0.10085128649989641,0.012345909781283276,0.01762951842306784,54.908059785390925,21.313759138702984,61.74329484257774,64.6835834156522,-0.9551598553085852,-0.1054132594870325,-0.871233472203875,0.19543372275914028,success,success
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,4,1.0,touchdown,0.3,0.0,active,per_step_sign,v22_3_active_bidirectional_4Nm_grid,v22_3_per_step_sign_4Nm_grid,True,True,True,True,0.42378948443217745,0.010477630208033344,0.013957770642741854,0.3856307011033238,0.02420101268611174,0.0,0.0,0.010477630208033344,0.13055450569355792,0.004802701379611871,0.012345909781283276,0.018369778850882867,54.908059785390925,21.313759138702984,61.74329484257774,64.6835834156522,-0.9551598553085852,-0.1054132594870325,-0.871233472203875,0.19543372275914028,success,success
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,5,1.0,pre_cross,0.3,0.0,active,active_full,v22_3_active_bidirectional_4Nm_grid,v22_3_active_full_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.6072258380953326,1.621384878787792,0.02116482360592259,0.02114614242983135,57.94658852696728,56.01083194188467,-28.56325562978115,63.016851333237426,-0.3567012636203519,0.8544797981299785,-0.7106791737699811,0.25566031722938265,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,20260702,5,1.0,pre_cross,0.3,0.0,active,per_step_sign,v22_3_active_bidirectional_4Nm_grid,v22_3_per_step_sign_4Nm_grid,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.6072258380953326,1.621384878787792,0.02116482360592259,0.02114614242983135,57.94658852696728,56.01083194188467,-28.56325562978115,63.016851333237426,-0.3567012636203519,0.8544797981299785,-0.7106791737699811,0.25566031722938265,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready
