table_iv_column,condition,terrain,nominal_length_m,method,manuscript_method,n_expected,n_successful_cmt,rerun_mean_cmt,rerun_sample_sd,rerun_ci95_low,rerun_ci95_high,manuscript_table_iv_cmt,rerun_minus_manuscript,matches_at_3_decimals,statuses
1,Step height = 0; nominal length = 1.28 m,flat,1.28,LIPM COM,LIPM COM,3,3,0.219211333333,0.009410420625,0.195834552576,0.242588114090,0.218,0.001211333333,False,flat_L128_r1=ok;flat_L128_r2=ok;flat_L128_r3=ok
1,Step height = 0; nominal length = 1.28 m,flat,1.28,TVLQR tracking,TVLQR tracking,3,3,0.225374333333,0.009179568036,0.202571022197,0.248177644470,0.225,0.000374333333,True,flat_L128_r1=ok;flat_L128_r2=ok;flat_L128_r3=ok
1,Step height = 0; nominal length = 1.28 m,flat,1.28,Discrete active PPO,Discrete active PPO,3,3,0.210387685021,0.009882107198,0.185839169859,0.234936200183,0.210,0.000387685021,True,flat_L128_r1=ok;flat_L128_r2=ok;flat_L128_r3=ok
1,Step height = 0; nominal length = 1.28 m,flat,1.28,Continuous active PPO,Continuous active PPO,3,3,0.232278418699,0.009248336841,0.209304276380,0.255252561018,0.232,0.000278418699,True,flat_L128_r1=ok;flat_L128_r2=ok;flat_L128_r3=ok
1,Step height = 0; nominal length = 1.28 m,flat,1.28,Proposed passive selector,Proposed,3,3,0.113652553622,0.001676289189,0.109488420432,0.117816686812,0.113,0.000652553622,False,flat_L128_r1=ok;flat_L128_r2=ok;flat_L128_r3=ok
2,Step height = 0; nominal length ≈ 1.145 m,flat,1.145,LIPM COM,LIPM COM,3,3,0.258663333333,0.032925750596,0.176871234590,0.340455432076,0.258,0.000663333333,False,flat_L1145_r1=ok;flat_L1145_r2=ok;flat_L1145_r3=ok
2,Step height = 0; nominal length ≈ 1.145 m,flat,1.145,TVLQR tracking,TVLQR tracking,3,2,0.259188500000,0.008207388409,0.185448040812,0.332928959188,0.246,0.013188500000,False,flat_L1145_r1=ok;flat_L1145_r2=ok;flat_L1145_r3=timeout
2,Step height = 0; nominal length ≈ 1.145 m,flat,1.145,Discrete active PPO,Discrete active PPO,3,3,0.233226092036,0.008903898777,0.211107581303,0.255344602770,0.233,0.000226092036,True,flat_L1145_r1=ok;flat_L1145_r2=ok;flat_L1145_r3=ok
2,Step height = 0; nominal length ≈ 1.145 m,flat,1.145,Continuous active PPO,Continuous active PPO,3,3,0.251432383280,0.019897382497,0.202004545054,0.300860221505,0.251,0.000432383280,True,flat_L1145_r1=ok;flat_L1145_r2=ok;flat_L1145_r3=ok
2,Step height = 0; nominal length ≈ 1.145 m,flat,1.145,Proposed passive selector,Proposed,3,3,0.120177713362,0.001456804618,0.116558810071,0.123796616654,0.119,0.001177713362,False,flat_L1145_r1=ok;flat_L1145_r2=ok;flat_L1145_r3=ok
3,Step height = 0.01 m; nominal length = 1.28 m,raised_0.01m,1.28,LIPM COM,LIPM COM,3,3,0.207631000000,0.009485019557,0.184068905222,0.231193094778,0.207,0.000631000000,False,raised_L128_r1=ok;raised_L128_r2=ok;raised_L128_r3=ok
3,Step height = 0.01 m; nominal length = 1.28 m,raised_0.01m,1.28,TVLQR tracking,TVLQR tracking,3,3,0.220090000000,0.003461888646,0.211490191860,0.228689808140,0.219,0.001090000000,False,raised_L128_r1=ok;raised_L128_r2=ok;raised_L128_r3=ok
3,Step height = 0.01 m; nominal length = 1.28 m,raised_0.01m,1.28,Discrete active PPO,Discrete active PPO,3,3,0.221922569473,0.002905785548,0.214704198012,0.229140940934,0.221,0.000922569473,False,raised_L128_r1=ok;raised_L128_r2=ok;raised_L128_r3=ok
3,Step height = 0.01 m; nominal length = 1.28 m,raised_0.01m,1.28,Continuous active PPO,Continuous active PPO,3,3,0.227246915138,0.003604022650,0.218294026559,0.236199803717,0.227,0.000246915138,True,raised_L128_r1=ok;raised_L128_r2=ok;raised_L128_r3=ok
3,Step height = 0.01 m; nominal length = 1.28 m,raised_0.01m,1.28,Proposed passive selector,Proposed,3,3,0.120963959399,0.002048219578,0.115875899903,0.126052018895,0.120,0.000963959399,False,raised_L128_r1=ok;raised_L128_r2=ok;raised_L128_r3=ok
4,Step height = 0.01 m; nominal length ≈ 1.145 m,raised_0.01m,1.145,LIPM COM,LIPM COM,3,3,0.245724000000,0.035696871348,0.157048055695,0.334399944305,0.245,0.000724000000,False,raised_L1145_r1=ok;raised_L1145_r2=ok;raised_L1145_r3=ok
4,Step height = 0.01 m; nominal length ≈ 1.145 m,raised_0.01m,1.145,TVLQR tracking,TVLQR tracking,3,3,0.238704333333,0.012934511445,0.206573225669,0.270835440998,0.238,0.000704333333,False,raised_L1145_r1=ok;raised_L1145_r2=ok;raised_L1145_r3=ok
4,Step height = 0.01 m; nominal length ≈ 1.145 m,raised_0.01m,1.145,Discrete active PPO,Discrete active PPO,3,3,0.245987581753,0.009148956405,0.223260314125,0.268714849381,0.245,0.000987581753,False,raised_L1145_r1=ok;raised_L1145_r2=ok;raised_L1145_r3=ok
4,Step height = 0.01 m; nominal length ≈ 1.145 m,raised_0.01m,1.145,Continuous active PPO,Continuous active PPO,3,3,0.246353249082,0.013212228862,0.213532253110,0.279174245054,0.246,0.000353249082,True,raised_L1145_r1=ok;raised_L1145_r2=ok;raised_L1145_r3=ok
4,Step height = 0.01 m; nominal length ≈ 1.145 m,raised_0.01m,1.145,Proposed passive selector,Proposed,3,3,0.139097252528,0.008015586807,0.119185431058,0.159009073998,0.138,0.001097252528,False,raised_L1145_r1=ok;raised_L1145_r2=ok;raised_L1145_r3=ok
