"case_id","case_dir","terrain","nominal_length_m","replicate","method","script","status","returncode","elapsed_seconds","cmt","time_s","foot_error_m","source_sha256","source_scan_hits","source_tree_changed","stdout_log","stderr_log","parse_notes"
"flat_L1145_r1","paper2_case_bundle/60,30(0.33m),1.145","flat","1.145","1","Proposed passive selector","Qi_multi_passive_sim.py","ok","0","2.868366","0.12052307848821536","2.52","","da1f5d1d682ab4d72e25a1d18c461d83b549ec213784a1fa325c4ed4810412ee","","false","data/paper2/readonly_rerun/flat_L1145_r1__passive.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r1__passive.stderr.txt",""
"flat_L1145_r1","paper2_case_bundle/60,30(0.33m),1.145","flat","1.145","1","Discrete active PPO","Qi_multi_ac_discrete_sim.py","ok","0","3.358315","0.24260058154419423","1.99","0.12684528102720005","e8cc0d03e2881b26512a847e788bba4e70344cd9498077164035b33e6942169a","","false","data/paper2/readonly_rerun/flat_L1145_r1__discrete.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r1__discrete.stderr.txt",""
"flat_L1145_r1","paper2_case_bundle/60,30(0.33m),1.145","flat","1.145","1","Continuous active PPO","Multi_continuous.py","ok","0","2.973128","0.2664538721943747","3.44","0.10506091435166187","1a6744e2992a1a42fd69006722d4fd4ce192f4c62784024dd745a0c760a878ac","","false","data/paper2/readonly_rerun/flat_L1145_r1__continuous.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r1__continuous.stderr.txt",""
"flat_L1145_r1","paper2_case_bundle/60,30(0.33m),1.145","flat","1.145","1","LIPM COM","LIPM.py","ok","0","5.517957","0.287705","","","f74cdbb6a36415b30c8459ff1ee3d9b46b41d27b6d47645cd6dd6e2b64670b14","","false","data/paper2/readonly_rerun/flat_L1145_r1__lipm.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r1__lipm.stderr.txt",""
"flat_L1145_r1","paper2_case_bundle/60,30(0.33m),1.145","flat","1.145","1","TVLQR tracking","LQR.py","ok","0","3.141699","0.264992","","","63ce0417afc30f2446e09d7511bcbefefe8e1e9713cb298a289e72da699082ca","","false","data/paper2/readonly_rerun/flat_L1145_r1__lqr.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r1__lqr.stderr.txt",""
"flat_L1145_r2","paper2_case_bundle/60,30(0.33m),1.145-2","flat","1.145","2","Proposed passive selector","Qi_multi_passive_sim.py","ok","0","2.976632","0.1185792601677367","2.61","0.021824064814923272","37feb8b23efc2b6f0cafb08ef99ad243fd0423342a33baed4cc1c56f85aba244","","false","data/paper2/readonly_rerun/flat_L1145_r2__passive.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r2__passive.stderr.txt",""
"flat_L1145_r2","paper2_case_bundle/60,30(0.33m),1.145-2","flat","1.145","2","Discrete active PPO","Qi_multi_ac_discrete_sim.py","ok","0","3.310784","0.23219516008024402","2.5500000000000003","0.15231721676541943","a6c571e6df0b6a0b68cda689afe0af92dfeef206c8cf48305adc3c4748be2d8c","","false","data/paper2/readonly_rerun/flat_L1145_r2__discrete.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r2__discrete.stderr.txt",""
"flat_L1145_r2","paper2_case_bundle/60,30(0.33m),1.145-2","flat","1.145","2","Continuous active PPO","Multi_continuous.py","ok","0","2.870702","0.2589772684441919","2.86","0.1203925199397351","3cde6200b870d32093ecc672596ec1dd16bd5767f998b54fc73ae88bc036960b","","false","data/paper2/readonly_rerun/flat_L1145_r2__continuous.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r2__continuous.stderr.txt",""
"flat_L1145_r2","paper2_case_bundle/60,30(0.33m),1.145-2","flat","1.145","2","LIPM COM","LIPM.py","ok","0","4.912955","0.265392","","","8905a687d92791011ff484e486d62f4cf9cfb7efe81647f0288db93bc007e58f","","false","data/paper2/readonly_rerun/flat_L1145_r2__lipm.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r2__lipm.stderr.txt",""
"flat_L1145_r2","paper2_case_bundle/60,30(0.33m),1.145-2","flat","1.145","2","TVLQR tracking","LQR.py","ok","0","3.093623","0.253385","","","ecadc7c4b998a9ee148323c3f4ca83c387343f1d1ad792830b32acd621d4ec16","","false","data/paper2/readonly_rerun/flat_L1145_r2__lqr.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r2__lqr.stderr.txt",""
"flat_L1145_r3","paper2_case_bundle/60,30(0.33m),1.145-3","flat","1.145","3","Proposed passive selector","Qi_multi_passive_sim.py","ok","0","2.980557","0.12143080143077968","2.84","0.0972730978841081","368a3f5686d15500a457d771954a50a56e084b90dcadd9b671e8736ab37198e4","","false","data/paper2/readonly_rerun/flat_L1145_r3__passive.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r3__passive.stderr.txt",""
"flat_L1145_r3","paper2_case_bundle/60,30(0.33m),1.145-3","flat","1.145","3","Discrete active PPO","Qi_multi_ac_discrete_sim.py","ok","0","3.372828","0.22488253448370082","2.1","0.1520505514401167","db281ced7b10635f206075928ae147e2b6d2d6a5b136d31ff75a85fe94cd861c","","false","data/paper2/readonly_rerun/flat_L1145_r3__discrete.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r3__discrete.stderr.txt",""
"flat_L1145_r3","paper2_case_bundle/60,30(0.33m),1.145-3","flat","1.145","3","Continuous active PPO","Multi_continuous.py","ok","0","2.913641","0.22886600920012357","3.5500000000000003","0.15750950555365795","4a5fe17bd1d1e8956e8cab4bf5e5fb28795514cbd6375040124ab61d2975c901","","false","data/paper2/readonly_rerun/flat_L1145_r3__continuous.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r3__continuous.stderr.txt",""
"flat_L1145_r3","paper2_case_bundle/60,30(0.33m),1.145-3","flat","1.145","3","LIPM COM","LIPM.py","ok","0","5.275884","0.222893","","","0861b8a8a0edaf6e7afb9a1625c1309e13f3c77514cc7dcdd7c42bf237707f8c","","false","data/paper2/readonly_rerun/flat_L1145_r3__lipm.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r3__lipm.stderr.txt",""
"flat_L1145_r3","paper2_case_bundle/60,30(0.33m),1.145-3","flat","1.145","3","TVLQR tracking","LQR.py","timeout","","180.059551","","","","6eaf0e5fa7d56086be78c39f6275ed2519ac515c5493b4ccc347c3fe11617833","","false","data/paper2/readonly_rerun/flat_L1145_r3__lqr.stdout.txt","data/paper2/readonly_rerun/flat_L1145_r3__lqr.stderr.txt","exceeded 180s timeout; missing Cmt"
"raised_L1145_r1","paper2_case_bundle/60,30(0.33m),0.01m,1.145","raised_0.01m","1.145","1","Proposed passive selector","Qi_multi_passive_sim.py","ok","0","3.008799","0.14785439168930947","2.3000000000000003","0.10767834951502708","0d829ef72ee4a2cc624f9eb83cd071d3a64a8ee93c7c0bbf2ed4291d38144a24","","false","data/paper2/readonly_rerun/raised_L1145_r1__passive.stdout.txt","data/paper2/readonly_rerun/raised_L1145_r1__passive.stderr.txt",""
"raised_L1145_r1","paper2_case_bundle/60,30(0.33m),0.01m,1.145","raised_0.01m","1.145","1","Discrete active PPO","Qi_multi_ac_discrete_sim.py","ok","0","3.433556","0.2565281052018476","2.17","0.14380416812910135","a5eb28927076be56d6d58f9b257360285c08c32bfe55d0f0b8061be12056510c","","false","data/paper2/readonly_rerun/raised_L1145_r1__discrete.stdout.txt","data/paper2/readonly_rerun/raised_L1145_r1__discrete.stderr.txt",""
"raised_L1145_r1","paper2_case_bundle/60,30(0.33m),0.01m,1.145","raised_0.01m","1.145","1","Continuous active PPO","Multi_continuous.py","ok","0","2.961924","0.25903140715431305","2.83","0.14196624443767547","6a9469cd41ca45283cf44c1e95e52d623f8cd0e4afc984c064543aee54e18c3f","","false","data/paper2/readonly_rerun/raised_L1145_r1__continuous.stdout.txt","data/paper2/readonly_rerun/raised_L1145_r1__continuous.stderr.txt",""
"raised_L1145_r1","paper2_case_bundle/60,30(0.33m),0.01m,1.145","raised_0.01m","1.145","1","LIPM COM","LIPM.py","ok","0","5.170658","0.281276","","","ce0cb86a47da1861efda4663f81293d6c506e6b9d2f42c2011c9bd9cccfcdcb6","","false","data/paper2/readonly_rerun/raised_L1145_r1__lipm.stdout.txt","data/paper2/readonly_rerun/raised_L1145_r1__lipm.stderr.txt",""
"raised_L1145_r1","paper2_case_bundle/60,30(0.33m),0.01m,1.145","raised_0.01m","1.145","1","TVLQR tracking","LQR.py","ok","0","3.050373","0.250948","","","dec94b33b5532cbbb8964469a067be381d7e686adf4c3f6b3163b2c5bd2f334d","","false","data/paper2/readonly_rerun/raised_L1145_r1__lqr.stdout.txt","data/paper2/readonly_rerun/raised_L1145_r1__lqr.stderr.txt",""
"raised_L1145_r2","paper2_case_bundle/60,30(0.33m),0.01m,1.145-2","raised_0.01m","1.145","2","Proposed passive selector","Qi_multi_passive_sim.py","ok","0","2.872804","0.13731368143671915","2.2800000000000002","0.13762138421706926","c77f20143944b5872753d652bb867a6ee12f513452ce8b0d873e05d3f103a453","","false","data/paper2/readonly_rerun/raised_L1145_r2__passive.stdout.txt","data/paper2/readonly_rerun/raised_L1145_r2__passive.stderr.txt",""
