action_weight,archived_condition,display_condition,common_mask_n,legacy_proposed_forensic_mean,legacy_proposed_valid_for_method_ranking,active_discrete_mean,continuous_legacy_raw_mean,continuous_corrected_mean,continuous_corrected_median,continuous_corrected_p99,continuous_corrected_max,deterministic_legacy_correction_factor,legacy_manuscript_proposed,legacy_manuscript_active,legacy_manuscript_continuous,retained_positive_negative_cmt_arrays_equal,audited_source_negative_cmt_wrong_write_pre_fix,audited_source_output_path_bypass_pre_fix,explicit_training_seed_calls,audited_evaluator_sha256_pre_fix,retained_h5_proposed_sha256,retained_h5_active_sha256,retained_h5_continuous_sha256
0.02,"60,30(0.33m)","Flat, 0.25 m step",32404,0.6889215721112416,False,1.5969495628590957,384.0488197968184,96.0122049492046,0.39610613600477784,8.67759881899104,3059081.028741846,4.0,0.48,1.58,1.24,False,True,False,0,BCB74FD9291F73B887D7F66FD985BA72CA54EE8FC62E6A34EA8C1E7ECD696609,1A553F7373B89514B3F448B821887BB892134B4E4895D0F826C7AF795CFEF335,2A3FD7E72E1E183D4949E78DC623A5BEC9C1CEE06F35A1F03E1C6B3F29D2973C,ADAC5F7A10634E9290B961D943C2197A4D31A32679DDF5E4C0D1556763411103
0.02,"70,20(0.225m)","Flat, 0.17 m step",31296,0.3495812217577,False,2.4762982508409355,6.922422657023249,1.7306056642558123,0.4279209200546365,12.484966458020281,5881.27440945608,4.0,0.34,2.47,1.73,True,True,False,0,662328B7C80F60806CB595BE50C9CF020A08E1DE2601C115BAAB5AE778B6DB4D,01BD20FF3C48F9ABDB0CDA14DD18D8664463AD91893232FC93DD421C7E3AF3E1,893F8295A1C835F72C42D8828F7BD1FDF15C86C0F71D7ACFF9BF3D0A91AA1EED,17B8BB6B34EA2CFE3CA3AECD5EBBFD1EF26D83B8F08C3BCE88D20BE875A651D1
0.02,"60,30(0.33m),0.01m","Raised 0.01 m, 0.25 m step",48898,0.23266645176574496,False,1.77808230328451,10.718991695967317,2.679747923991829,0.4998477725268096,16.120055066218924,20871.33756355163,4.0,0.23,1.77,2.67,True,True,False,0,49C8DCAE7D316DF55203B0724831EE4914272E6DDB3E6DC7FF62B4AB2FCB9FE5,6354D5514BE983BFF83ABDB94ECE0383CD31BF54CC131E3597CE376DC66068E0,32C0214CEF595E9A752864E0CD41D352A26FC5E68406286B34005C03A6DF741D,3F91D645ABABA69AD92EA77C8FCC64D25F1AA0047B20C1A3405406607083A340
0.02,"70,20,(0.225m),0.01m","Raised 0.01 m, 0.17 m step",26406,0.2535471857104705,False,3.4996721199600196,5.754271489202631,1.4385678723006579,0.4578945788550778,13.497002673512757,1314.4184809727544,4.0,0.25,3.49,1.43,True,True,False,0,8F3DD9FDD6714456CA524AD5409A5F65EAFBFE8DB5CECBE658DEF625CCC71E8F,DFEC57F1BA0031743553552FF4D00BBDAE43FB94C8D3BDF4A4E9451DB49A6DC7,E99B52E286CF1F59AA8874BE240781EBFCC36A3675EB1F201C9E912ABBBA7E9E,8ED4D29185C5FF53BAE9BF0AADC94A0272A542DCA9A6FC663607F801C6455D47
0.04,"60,30(0.33m)","Flat, 0.25 m step",47251,0.1849164116769095,False,1.3811939123716934,4.790258864771841,1.1975647161929603,0.37971426145490356,8.242331858033385,10191.756497733488,4.0,0.18,1.38,1.2,True,False,False,0,187ABC1188776684E6F72EB8A9E99101B22684ECF2419FB432C81BF62BDF4107,D5B3DB90ABEF9DD5162612BDB17C3429A0FF42E0D486A15FA159F9DDD25A932F,811F0BE4A7C1BB80CF50E19343970C04D9EDBDCE5A28D4C8597FDFA2ED9A63B2,5353003C0C2CB7C1905028EA6D3E58141FFE7C52CFEE607964DCD8077643902E
0.04,"70,20(0.225m)","Flat, 0.17 m step",27928,0.10834606884607775,False,1.4895224465948254,4.700037167697819,1.1750092919244548,0.37999284333010896,10.140341005163362,2587.678030219159,4.0,0.1,1.48,1.18,True,True,True,0,700A726AA134EE51B56E67A307A6A5FE6AF72588A81A3D6A2AB574A0018510C4,400673514B48918C5E0331B65A87F3CBC98096BC49CA361A630D69DE2A8440EB,F33033D2241752B6D35735AB071787BE977E2E02DA598541FC34E12296197222,6A425A89879B65DC6B29A364F143DF4C48C86E90854377873A860F20D87AE896
0.04,"60,30(0.33m),0.01m","Raised 0.01 m, 0.25 m step",48880,0.23683707943698168,False,1.4681356847620328,7.804397387024693,1.9510993467561732,0.47477538255094964,16.389377750563483,9020.344055649368,4.0,0.23,1.46,1.95,True,True,True,0,587BC8411993FACE2EB138F2C8228B55DBF531DAD9D5C9D9BBCF4F52AD8D0252,C45530E934DFD93D8198F29C05E57DD729588FC58C73E90E86053DAB1224E518,5C1ED53ED0CF67693837860BCD30B87036526C7239A328D44986944C460B554B,4D08964A4A861A152C5F352D5EEA5FE0EE2308891B593F00DE26772EF504EC58
0.04,"70,20,(0.225m),0.01m","Raised 0.01 m, 0.17 m step",25556,0.3169360121428301,False,2.4475349402128295,4.846147628425021,1.2115369071062552,0.40921156654120217,10.7719692375247,2324.925281916558,4.0,0.31,2.44,1.2,True,True,True,0,F8E01DEF9BB93C686F32FEC7AFBE713465F0B26FF6E633D1025F14B03545C185,7001AAC0A06C173E72D2F4B29395ED0C08E297E3CB5BDC737061B90DDB1E5FBC,BF5BD7AA7F2BE085D3E3D69F612FA61648740867DF71E7FBB5E69CB661F52076,0E7BD878FAC70E407CD80F4799920364B6E459C06E0FD1001DF9EA16C1E8254C
0.06,"60,30(0.33m)","Flat, 0.25 m step",52241,0.42951707318630933,False,1.270576065702071,4.7198590773918765,1.1799647693479691,0.42530961580289134,8.018353860014095,7185.790791465566,4.0,0.42,1.27,1.18,True,True,False,0,2C14C805A073952F6F485CB11DBEABDA19B92ED0D051209EB132A41F299D8078,01B7665D79C2478A7024F18461314793F6D0B85C1C4272F5FAB4BF545E8D688D,8A80CB7E1DE54145888F4BFE39C8A1C3B1EB8E530D32EC69E5DBA91BB5740DA0,2E3570FB90D3B1160C6DEDD6FC1FBCA20B7842E070E6507B9908D4A031D12508
0.06,"70,20(0.225m)","Flat, 0.17 m step",28628,0.2136719417140071,False,4.835002569129811,9.017780026636025,2.2544450066590063,0.48277959611550336,14.35715601653692,13931.68394447928,4.0,0.2,1.23,2.25,True,True,False,0,3648340668B94C8BF9FD3E7CF7EB9FC2C38B93AEABF22A84250FDC1444CAB914,C35F0229613658C11446FDCEDDC0A03F2C17AD7F7A2C433D2A9072C4E94DE167,3D56DDAE82B53F8CC8669CBFC09A05F204A68EBF89FB77DBE003A0E443AF143F,E3F7754E8FD608865B7609BFF2B089E9A2FFC23A61FD71436C04E9BEFE2EBFB5
0.06,"60,30(0.33m),0.01m","Raised 0.01 m, 0.25 m step",48518,0.20246140507324203,False,1.2284995831396532,9.078435447559986,2.2696088618899966,0.5243430083208518,18.185520012550594,11347.825275586934,4.0,0.21,4.8,2.25,True,True,False,0,A023D614DB8E3E9EB564EB2D017D8A2B6317961B2C8F5193E32E7D867F40733F,20990C59FD28BA9EF374FBCE8B3878D9E59114C522C7674FAF23FE5074BCC138,4305FCD9ABE03E9C00263EAA4FE114083E3F4C4AE7E21B85ADBED20DD67BE1CB,55C8F7E1D8009426DCFD5E9410821C082464BDB8E9238D8F50D3CC1D49C9CBB7
0.06,"70,20,(0.225m),0.01m","Raised 0.01 m, 0.17 m step",25157,0.16244950940281244,False,3.5888913915732537,6.1301363334948045,1.5325340833737011,0.41654137091554944,12.138858562233393,6311.206020984709,4.0,0.16,3.5,1.57,True,True,False,0,DD77BE4F21835A58D7AB1C11583CEE35B59B02EC1112FAF1BE909125F29E2619,0FC3E613F49B0D2D887693CAB2C6F537B1949CF514C2FF2A2276A534DDAB7015,C22684442BA578C600CC8750BBED3F1546684E7E487D224FA5CE5AAD9E55B0FE,8D75CC50ECF652F764A37D6F2AB9CC7F52F895C92B34140A0C6EDF4907458EF9
