action_weight,archived_condition,total_grid_n,dual_success_n,dual_success_minus1_plus1_n,dual_success_with_first_action_zero_n,negative_only_success_n,positive_only_success_n,both_failed_n,single_success_first_action_zero_n,three_method_common_mask_n,single_success_first_action_zero_pseudozero_on_common_mask_n,pseudozero_fraction_of_common_mask,legacy_hdf5_rewritten,legacy_proposed_valid_for_method_ranking
0.02,"60,30(0.33m)",90000,2250,0,2250,1910,31793,54047,19737,32404,19517,0.6023021849154425,False,False
0.02,"60,30(0.33m),0.01m",90000,10783,0,10783,21088,21762,36367,26490,48898,25793,0.527485786739744,False,False
0.02,"70,20(0.225m)",90000,12025,0,12025,15943,7596,54436,14197,31296,13045,0.41682643149284254,False,False
0.02,"70,20,(0.225m),0.01m",90000,11110,0,11110,13519,6705,58666,11961,26406,10618,0.4021055820646823,False,False
0.04,"60,30(0.33m)",90000,10358,0,10358,21909,17961,39772,30901,47251,30414,0.6436689170599564,False,False
0.04,"60,30(0.33m),0.01m",90000,10945,0,10945,21598,22254,35203,28867,48880,27591,0.5644639934533552,False,False
0.04,"70,20(0.225m)",90000,12097,0,12097,13302,5693,58908,11052,27928,10072,0.36064164995703235,False,False
0.04,"70,20,(0.225m),0.01m",90000,11229,0,11229,13292,5653,59826,11619,25556,10457,0.4091798403506026,False,False
0.06,"60,30(0.33m)",90000,10519,0,10519,23298,23418,32765,23868,52241,23475,0.44935969832124195,False,False
0.06,"60,30(0.33m),0.01m",90000,10576,0,10576,21643,21600,36181,25213,48518,24350,0.5018755925635846,False,False
0.06,"70,20(0.225m)",90000,12032,0,12032,15370,6501,56097,12850,28628,11517,0.4022984490708397,False,False
0.06,"70,20,(0.225m),0.01m",90000,11114,0,11114,11529,6565,60792,11180,25157,10097,0.4013594625750288,False,False
