action_weight,random_seed,archived_condition,step_height_m,max_horizontal_advance_m,paper_column,paper_order,common_mask_n,fusion_bad_n,continuous_mean,continuous_median,continuous_sample_sd,continuous_p99,continuous_max,active_mean,active_median,active_sample_sd,active_p99,active_max,proposed_mean,proposed_median,proposed_sample_sd,proposed_p99,proposed_max
0.02,20260716,"60,30(0.33m)",0.0,0.25,0.00 m step; 0.25 m advance,0,52668,0,1.103718574091688,0.4267977183567778,27.987663945661723,8.197501490650131,5891.367121213713,1.5850174939891042,0.46995221132999254,23.77223908968475,14.234991517959106,3304.513695421352,0.824125211010917,0.21788324873624088,17.71654158662801,5.354404285757909,3308.2501958545595
0.02,20260716,"70,20(0.225m)",0.0,0.17,0.00 m step; 0.17 m advance,1,39675,0,1.3139642832806424,0.3968069024662819,13.30549085048096,12.338310427734115,1145.770606289721,3.166889640082186,0.5165078787799204,187.53771538585642,16.977959002136185,25974.386786444826,0.38702317576311523,0.06362939097388852,2.1364407128812433,3.3607198786645385,244.81443049587733
0.02,20260716,"60,30(0.33m),0.01m",0.01,0.25,0.01 m step; 0.25 m advance,2,50283,0,1.4670982308013978,0.496027192051448,23.02824715818361,11.515714435592367,3437.126370573918,1.554202091261865,0.4127638877230184,27.903528054402518,12.281777509839449,3616.036844649393,0.6973807799094927,0.3034712968540652,28.55863767564849,3.9752333909728574,6360.512497110268
0.02,20260716,"70,20,(0.225m),0.01m",0.01,0.17,0.01 m step; 0.17 m advance,3,36607,0,1.23258210160969,0.4076879904397167,17.368313725474742,9.680394870746985,2292.8062352429615,2.230359550720062,0.5891220559178176,65.48071282340706,17.28440234142861,9555.25654688083,0.3530561708133467,0.09852160480000495,2.03661906150002,2.71984870231635,251.31037140567122
0.04,20260716,"60,30(0.33m)",0.0,0.25,0.00 m step; 0.25 m advance,0,47241,0,2.4751018459461758,0.38059081882290374,280.34533813922513,8.011742849235546,60674.25142272584,1.3812243169785874,0.3769488082899887,19.012524607964448,14.134754001844588,2411.5717281234934,0.9517078708944863,0.3590039553276038,56.941744078445446,5.2492763308295265,12295.472330975044
0.04,20260716,"70,20(0.225m)",0.0,0.17,0.00 m step; 0.17 m advance,1,35426,0,1.1594416247652035,0.3581983467088373,15.331108952010476,11.03546094017532,2095.244812683565,2.9769098088412567,0.3628529164122579,131.90545887944972,16.747739918948916,17732.56284833796,0.1404368181519127,0.006958192178621439,0.7869240495225522,0.9742939751521971,95.13755365497069
0.04,20260716,"60,30(0.33m),0.01m",0.01,0.25,0.01 m step; 0.25 m advance,2,50175,0,4.90650788628162,0.47034277437399175,708.8566001705685,10.857184675613583,157447.4093661151,1.6108236985539783,0.3937918721046031,57.91732189413756,11.269116405424754,8735.665383501577,0.9052190385567346,0.4077235759130295,29.044386671406272,5.267247257072084,6360.512496748193
0.04,20260716,"70,20,(0.225m),0.01m",0.01,0.17,0.01 m step; 0.17 m advance,3,27651,0,1.8594739600765013,0.43222787906287913,71.08594407728755,12.526129309119732,10765.965635763738,2.5366541490913708,0.5063810228659125,50.71226420737845,26.330931298424158,5501.842600980843,0.5601747304123985,0.0,17.352400866692058,3.783867687747761,2603.773662169747
0.06,20260716,"60,30(0.33m)",0.0,0.25,0.00 m step; 0.25 m advance,0,52308,0,1.1064033644583213,0.426206351965139,28.083589466935358,8.19634674106677,5891.367121213713,1.2700684483735958,0.35992142610894373,27.388382089484168,11.234869877664488,5482.291949890052,0.8703213057969127,0.20274703210653755,35.43548534591945,5.265486132739361,7880.595393424065
0.06,20260716,"70,20(0.225m)",0.0,0.17,0.00 m step; 0.17 m advance,1,30680,0,4.344673074040188,0.5062332818570954,317.0634001710427,15.648335911186972,54066.395707709315,1.759573440981889,0.4639015300663427,21.539698302884105,15.483554303143709,2387.6150757466644,0.34720573881402533,0.0,4.254306287553436,3.589955552069504,452.4081071232832
0.06,20260716,"60,30(0.33m),0.01m",0.01,0.25,0.01 m step; 0.25 m advance,2,48284,0,2.0901701686120115,0.5259329600955074,43.92883304747994,17.212763834292893,5596.8308726652285,1.2014590956308544,0.38157969267853753,13.356523309568926,9.424941544791574,1385.3557582736792,0.6324717473415161,0.2608785652335999,27.69029401792515,3.1555245054069494,6023.5489505762025
0.06,20260716,"70,20,(0.225m),0.01m",0.01,0.17,0.01 m step; 0.17 m advance,3,27006,0,1.5768675176026667,0.43835429566337114,22.125523344307457,13.798308237582185,2312.935498179508,3.2805049218692646,0.48905579177034963,145.01871571076438,24.62674325951846,22332.49189512471,0.1901211891008543,0.0,1.3073586520943867,1.841925623226051,163.19356922554368
