action_weight,method,statistic,0.00 m step; 0.25 m advance,0.00 m step; 0.17 m advance,0.01 m step; 0.25 m advance,0.01 m step; 0.17 m advance
0.02,Continuous PPO,mean Cmt,0.545,0.529,0.618,0.554
0.02,Active PPO,mean Cmt,0.734,0.734,0.651,0.841
0.02,Proposed,mean Cmt,0.521,0.333,0.425,0.299
0.02,Common-mask n,count,47668,34234,44834,31593
0.04,Continuous PPO,mean Cmt,0.497,0.476,0.570,0.539
0.04,Active PPO,mean Cmt,0.596,0.562,0.583,0.700
0.04,Proposed,mean Cmt,0.437,0.121,0.520,0.273
0.04,Common-mask n,count,42802,30811,44687,22652
0.06,Continuous PPO,mean Cmt,0.544,0.674,0.658,0.555
0.06,Active PPO,mean Cmt,0.537,0.730,0.591,0.698
0.06,Proposed,mean Cmt,0.477,0.224,0.348,0.157
0.06,Common-mask n,count,47431,25298,42631,21994
