panel,record,method,reference,comparison,metric,component,value,ci_low,ci_high,count,n,ties,interval,description
b,controller_rate,active,,,success_rate,,0.4513888888888889,0.43050768167021186,0.4724426943178463,975,2160,,Wilson 95% CI,
b,controller_rate,active,,,valid_cmt_rate,,0.21203703703703702,0.19531825232102715,0.22977826067489862,458,2160,,Wilson 95% CI,
b,controller_rate,active_full,,,success_rate,,0.45555555555555555,0.4346505724076637,0.4766183427814181,984,2160,,Wilson 95% CI,
b,controller_rate,active_full,,,valid_cmt_rate,,0.21944444444444444,0.2024972854739364,0.2373877416571424,474,2160,,Wilson 95% CI,
b,controller_rate,true_action_mask_scratch,,,success_rate,,0.43796296296296294,0.41716846346230874,0.4589777306557845,946,2160,,Wilson 95% CI,
b,controller_rate,true_action_mask_scratch,,,valid_cmt_rate,,0.19907407407407407,0.18277545341780546,0.21644115984160248,430,2160,,Wilson 95% CI,
b,controller_rate,passive_sign_selector,,,success_rate,,0.4462962962962963,0.4254461606188827,0.46733711190125776,964,2160,,Wilson 95% CI,
b,controller_rate,passive_sign_selector,,,valid_cmt_rate,,0.2222222222222222,0.20519153482537605,0.24023918510638514,480,2160,,Wilson 95% CI,
b,controller_rate,passive_oracle_envelope,,,success_rate,,0.45787037037037037,0.43695281716927403,0.4789375086870431,989,2160,,Wilson 95% CI,
b,controller_rate,passive_oracle_envelope,,,valid_cmt_rate,,0.2351851851851852,0.2177793758830038,0.25353124378527525,508,2160,,Wilson 95% CI,
d,paired_lower_cmt_fraction,,active,true_action_mask_scratch,fraction_comparison_lower_cmt,,0.3613861386138614,0.31604970295815926,0.40933378227196693,146,404,17,Wilson 95% CI,Restricted to pairs with valid Cmt for both controllers.
d,paired_lower_cmt_fraction,,active,passive_sign_selector,fraction_comparison_lower_cmt,,0.7971360381861575,0.7560126121936142,0.8328605808335352,334,419,27,Wilson 95% CI,Restricted to pairs with valid Cmt for both controllers.
d,paired_lower_cmt_fraction,,true_action_mask_scratch,passive_sign_selector,fraction_comparison_lower_cmt,,0.8962025316455696,0.862211623197064,0.9225613563359247,354,395,14,Wilson 95% CI,Restricted to pairs with valid Cmt for both controllers.
d,paired_lower_cmt_fraction,,active,passive_oracle_envelope,fraction_comparison_lower_cmt,,0.8495370370370371,0.8127499257487568,0.8801625861016665,367,432,25,Wilson 95% CI,Restricted to pairs with valid Cmt for both controllers.
a,mechanism,true_action_mask_scratch,,,actions_before_mask,,27,,,,,,,Latent sign is refreshed every control step.
a,mechanism,true_action_mask_scratch,,,valid_actions_after_mask,,18,,,,,,,Nine zero-hip actions plus nine actions with the selected sign.
a,mechanism,passive_sign_selector,,,selector_refresh,,once_per_transition,,,,,,,Selected one-sided expert is retained until termination.
c,valid_cmt_component,active,,,mean_cmt_valid,Hip,1.308621151062391,,,,458,,,Controller-specific valid-transition subset.
c,valid_cmt_component,active,,,mean_cmt_valid,Support knee,0.029775740181182855,,,,458,,,Controller-specific valid-transition subset.
c,valid_cmt_component,active,,,mean_cmt_valid,Swing knee,0.1168353876952734,,,,458,,,Controller-specific valid-transition subset.
c,valid_cmt_component,active_full,,,mean_cmt_valid,Hip,1.1198186017198102,,,,474,,,Controller-specific valid-transition subset.
c,valid_cmt_component,active_full,,,mean_cmt_valid,Support knee,0.013325416388889915,,,,474,,,Controller-specific valid-transition subset.
c,valid_cmt_component,active_full,,,mean_cmt_valid,Swing knee,0.10714154555150762,,,,474,,,Controller-specific valid-transition subset.
c,valid_cmt_component,true_action_mask_scratch,,,mean_cmt_valid,Hip,1.3079289504635812,,,,430,,,Controller-specific valid-transition subset.
c,valid_cmt_component,true_action_mask_scratch,,,mean_cmt_valid,Support knee,0.021890251857471992,,,,430,,,Controller-specific valid-transition subset.
c,valid_cmt_component,true_action_mask_scratch,,,mean_cmt_valid,Swing knee,0.06828776327124962,,,,430,,,Controller-specific valid-transition subset.
c,valid_cmt_component,passive_sign_selector,,,mean_cmt_valid,Hip,0.36028856971516227,,,,480,,,Controller-specific valid-transition subset.
c,valid_cmt_component,passive_sign_selector,,,mean_cmt_valid,Support knee,0.003755648022298855,,,,480,,,Controller-specific valid-transition subset.
c,valid_cmt_component,passive_sign_selector,,,mean_cmt_valid,Swing knee,0.06296729964892919,,,,480,,,Controller-specific valid-transition subset.
c,valid_cmt_component,passive_oracle_envelope,,,mean_cmt_valid,Hip,0.32758968575177,,,,508,,,Controller-specific valid-transition subset.
c,valid_cmt_component,passive_oracle_envelope,,,mean_cmt_valid,Support knee,0.0038350332870345817,,,,508,,,Controller-specific valid-transition subset.
c,valid_cmt_component,passive_oracle_envelope,,,mean_cmt_valid,Swing knee,0.07193820365925181,,,,508,,,Controller-specific valid-transition subset.
