seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,rank,mask_minus_selector_cmt,selector_minus_oracle_abs_cmt,min_steps,max_steps
20260719,1155,-1.0,touchdown,0.3,0.01,1,2.243180576350945,0.0832337980924189,8,13
20260702,461,-1.0,touchdown,0.3,0.02,2,1.625266638410788,0.07821495804290594,6,11
20260702,620,-1.0,touchdown,0.4,0.0,3,1.4409453769263632,0.12384166822863324,8,10
20260719,1365,-1.0,touchdown,0.4,0.01,4,1.2626920894086109,0.1205638408374299,6,13
20260702,706,-1.0,touchdown,0.4,0.02,5,1.1801505026704606,0.13452190535487085,7,10
20260719,1391,-1.0,touchdown,0.4,0.01,6,1.0989895272064234,0.48103786081531097,9,12
20260719,1253,-1.0,touchdown,0.35,0.01,7,1.0301705941481742,0.05867158608150669,8,12
20260702,664,-1.0,touchdown,0.4,0.01,8,1.0273984961884097,0.3466567229765996,7,9
20260803,1942,-1.0,touchdown,0.35,0.0,9,1.0028860842910412,0.04323991952189458,6,7
20260719,1114,-1.0,touchdown,0.3,0.0,10,0.8717944350288009,0.5179971353858964,8,9
20260702,563,-1.0,touchdown,0.35,0.02,11,0.8154718651535642,0.06273882557088559,6,8
20260803,2111,-1.0,touchdown,0.4,0.01,12,0.734089214743759,0.021419024007043104,6,7
20260803,2126,-1.0,touchdown,0.4,0.02,13,0.7327905682840616,0.09087359560664843,6,10
20260803,2091,-1.0,touchdown,0.4,0.01,14,0.5991946276860641,0.11467565569926721,6,7
20260803,1808,-1.0,touchdown,0.3,0.0,15,0.5616108460902184,0.29767889992482055,6,9
20260803,2097,-1.0,touchdown,0.4,0.01,16,0.5028938586629905,0.13602580438043127,6,8
20260803,2026,-1.0,touchdown,0.35,0.02,17,0.455230105441207,0.09953221083068536,8,12
20260719,1347,-1.0,touchdown,0.4,0.0,18,0.3887927984971865,0.0935892073005234,7,13
20260702,571,-1.0,touchdown,0.35,0.02,19,0.30967714405984864,0.0792367907917312,6,10
