active_terminal_reason,selector_terminal_reason,count
clearance,clearance,15
clearance,clearance_ground+foot_ground_bad_clearance,10
clearance,clearance_ground+foot_ground_before_ready,9
clearance,speed,1
clearance,success+touchdown_event,1
clearance_ground+foot_ground_after_ready,clearance_ground+foot_ground_after_ready,11
clearance_ground+foot_ground_after_ready,clearance_ground+foot_ground_before_ready,8
clearance_ground+foot_ground_after_ready,success,20
clearance_ground+foot_ground_bad_clearance,clearance,22
clearance_ground+foot_ground_bad_clearance,clearance_ground+foot_ground_after_ready,1
clearance_ground+foot_ground_bad_clearance,clearance_ground+foot_ground_bad_clearance,57
clearance_ground+foot_ground_bad_clearance,clearance_ground+foot_ground_before_ready,17
clearance_ground+foot_ground_bad_clearance,clearance_ground+knee_ground,2
clearance_ground+foot_ground_bad_clearance,q1_high_limit,1
clearance_ground+foot_ground_bad_clearance,q1_low_limit,1
clearance_ground+foot_ground_bad_clearance,q1_low_limit+q3_high_limit,1
clearance_ground+foot_ground_bad_clearance,q3_high_limit,1
clearance_ground+foot_ground_bad_clearance,speed,1
clearance_ground+foot_ground_bad_clearance,success,1
clearance_ground+foot_ground_before_ready,clearance,18
clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_after_ready,9
clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_bad_clearance,15
clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,838
clearance_ground+foot_ground_before_ready,clearance_ground+knee_ground,21
clearance_ground+foot_ground_before_ready,q1_low_limit,15
clearance_ground+foot_ground_before_ready,speed,6
clearance_ground+foot_ground_before_ready,success,36
clearance_ground+knee_ground,clearance,5
clearance_ground+knee_ground,clearance_ground+foot_ground_bad_clearance,3
clearance_ground+knee_ground,clearance_ground+foot_ground_before_ready,6
clearance_ground+knee_ground,clearance_ground+knee_ground,9
q1_low_limit,clearance_ground+foot_ground_before_ready,14
q1_low_limit,q1_low_limit,4
speed,clearance_ground+foot_ground_before_ready,5
speed,speed,1
success,clearance,1
success,clearance_ground+foot_ground_after_ready,14
success,clearance_ground+foot_ground_before_ready,52
success,success,903
success,success+touchdown_event,1
success+touchdown_event,clearance_ground+foot_ground_after_ready,1
success+touchdown_event,clearance_ground+foot_ground_before_ready,1
success+touchdown_event,success,1
success+touchdown_event,success+touchdown_event,1
