eval_label,controller,reason_group,reason,count,fraction_of_all,fraction_of_failures,fraction_of_successes,n_all,n_failures,n_successes
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active,failure_exact_terminal_reason,clearance_ground+foot_ground_before_ready,958,0.4435185185185185,0.8084388185654009,0.0,2160,1185,975
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active,failure_exact_terminal_reason,clearance_ground+foot_ground_bad_clearance,105,0.0486111111111111,0.0886075949367088,0.0,2160,1185,975
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active,failure_exact_terminal_reason,clearance_ground+foot_ground_after_ready,39,0.0180555555555555,0.0329113924050632,0.0,2160,1185,975
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active,failure_exact_terminal_reason,clearance,36,0.0166666666666666,0.030379746835443,0.0,2160,1185,975
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active,failure_exact_terminal_reason,clearance_ground+knee_ground,23,0.0106481481481481,0.0194092827004219,0.0,2160,1185,975
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active,failure_exact_terminal_reason,q1_low_limit,18,0.0083333333333333,0.0151898734177215,0.0,2160,1185,975
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active,failure_exact_terminal_reason,speed,6,0.0027777777777777,0.0050632911392405,0.0,2160,1185,975
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active,success_terminal_reason,success,971,0.449537037037037,0.0,0.9958974358974358,2160,1185,975
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active,success_terminal_reason,success+touchdown_event,4,0.0018518518518518,0.0,0.0041025641025641,2160,1185,975
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,failure_exact_terminal_reason,clearance_ground+foot_ground_before_ready,966,0.4472222222222222,0.8214285714285714,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,failure_exact_terminal_reason,clearance_ground+foot_ground_bad_clearance,97,0.0449074074074074,0.0824829931972789,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,failure_exact_terminal_reason,clearance,35,0.0162037037037037,0.0297619047619047,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,failure_exact_terminal_reason,clearance_ground+foot_ground_after_ready,34,0.0157407407407407,0.0289115646258503,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,failure_exact_terminal_reason,clearance_ground+knee_ground,29,0.0134259259259259,0.0246598639455782,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,failure_exact_terminal_reason,q1_low_limit,9,0.0041666666666666,0.0076530612244897,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,failure_exact_terminal_reason,speed,6,0.0027777777777777,0.0051020408163265,0.0,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,success_terminal_reason,success,978,0.4527777777777778,0.0,0.9939024390243902,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,active_full,success_terminal_reason,success+touchdown_event,6,0.0027777777777777,0.0,0.0060975609756097,2160,1176,984
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,failure_exact_terminal_reason,clearance_ground+foot_ground_before_ready,909,0.4208333333333333,0.7762596071733561,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,failure_exact_terminal_reason,clearance_ground+foot_ground_bad_clearance,89,0.0412037037037037,0.0760034158838599,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,failure_exact_terminal_reason,clearance,87,0.0402777777777777,0.0742954739538855,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,failure_exact_terminal_reason,clearance_ground+knee_ground,32,0.0148148148148148,0.02732707087959,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,failure_exact_terminal_reason,clearance_ground+foot_ground_after_ready,23,0.0106481481481481,0.0196413321947053,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,failure_exact_terminal_reason,q1_low_limit,22,0.0101851851851851,0.0187873612297181,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,failure_exact_terminal_reason,speed,7,0.0032407407407407,0.0059777967549103,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,failure_exact_terminal_reason,q1_low_limit+q3_high_limit,1,0.0004629629629629,0.0008539709649871,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,failure_exact_terminal_reason,q3_high_limit,1,0.0004629629629629,0.0008539709649871,0.0,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,success_terminal_reason,success,987,0.4569444444444444,0.0,0.9979777553083924,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_oracle_envelope,success_terminal_reason,success+touchdown_event,2,0.0009259259259259,0.0,0.0020222446916076,2160,1171,989
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,failure_exact_terminal_reason,clearance_ground+foot_ground_before_ready,950,0.4398148148148148,0.794314381270903,0.0,2160,1196,964
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,failure_exact_terminal_reason,clearance_ground+foot_ground_bad_clearance,85,0.0393518518518518,0.0710702341137123,0.0,2160,1196,964
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,failure_exact_terminal_reason,clearance,61,0.0282407407407407,0.0510033444816053,0.0,2160,1196,964
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,failure_exact_terminal_reason,clearance_ground+foot_ground_after_ready,36,0.0166666666666666,0.0301003344481605,0.0,2160,1196,964
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,failure_exact_terminal_reason,clearance_ground+knee_ground,32,0.0148148148148148,0.0267558528428093,0.0,2160,1196,964
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,failure_exact_terminal_reason,q1_low_limit,20,0.0092592592592592,0.0167224080267558,0.0,2160,1196,964
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,failure_exact_terminal_reason,speed,9,0.0041666666666666,0.0075250836120401,0.0,2160,1196,964
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,failure_exact_terminal_reason,q1_high_limit,1,0.0004629629629629,0.0008361204013377,0.0,2160,1196,964
4DoF_V22_3_3x3_grid_4Nm_curriculum1_extended_active_passive_selector,passive_sign_selector,failure_exact_terminal_reason,q1_low_limit+q3_high_limit,1,0.0004629629629629,0.0008361204013377,0.0,2160,1196,964
