eval_label,seed,episode_index,walk_direction,reset_phase,controller,policy_name,passive_mode,passive_selected_from,curriculum_progress,hip_torque_nm,knee_torque_nm,commanded_step_length_m,commanded_step_height_m,success,valid_for_cmt,terminal_reason,steps,nonzero_torque_steps,negative_sign_steps,positive_sign_steps,action_mask_violations,energy_j,support_knee_energy_j,hip_energy_j,swing_knee_energy_j,signed_com_displacement_m,cmt,support_knee_cmt,hip_cmt,swing_knee_cmt,initial_q1_deg,initial_q2_deg,initial_q3_deg,initial_q4_deg,initial_dq1_rad_s,initial_dq2_rad_s,initial_dq3_rad_s,initial_dq4_rad_s,final_q1_deg,final_q2_deg,final_q3_deg,final_q4_deg
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1442,1.0,pre_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.3,0.0,True,True,success,37,37,0,0,0,1.638856859678912,0.07322857087029938,1.4665184190182923,0.09910986979032041,0.12148148683437246,0.5406451794916791,0.02415749344323386,0.4837921684224075,0.032695517626037736,75.34344878895283,22.34566804433066,-13.394990844166086,55.38938479873457,0.05819115114719997,-0.604071575967172,0.6947779680670729,0.18723666762655655,69.74982437835588,9.772664922568826,31.28886845650856,5.851131763262714
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,341,1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.4,0.02,True,True,success,14,14,0,0,0,2.34803454112743,0.01324893454248041,2.2668933524518837,0.06789225413306606,0.08118355306212426,1.1590918102008299,0.0065402494099180706,1.1190369960077529,0.033514564783159013,56.126243344576146,34.30635517570267,-0.21887718009235088,102.73845379839231,-0.5045079227473015,-0.18304535201699146,-0.1984011021395904,-0.06447457343192087,47.44444432920478,39.20812364870577,47.71018776863389,34.975420710655094
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1955,-1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.35,0.0,True,True,success,15,15,0,0,0,1.7827600847761857,0.0,1.7287058566370948,0.05405422813909093,0.07757003046686674,0.9210439418601923,0.0,0.8931174026782872,0.027926539181905,65.16405761018474,37.77162285744266,-6.900642955300251,97.1492136853141,0.9213576726342712,0.7733129931689724,-0.17357263609274498,0.41415615354472013,45.27575343378314,93.14526397803024,-65.75705563554749,57.24106130336137
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1522,1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.3,0.02,True,True,success,12,12,0,0,0,2.0003108617370584,0.017595708655106068,1.9454494638266748,0.03726568925527734,0.07575861459295849,1.0581491310088265,0.009307995161670243,1.0291278715459897,0.01971326430116646,57.0608161699352,30.486989176705094,8.955284707380144,97.91375547271457,-0.7476022227886383,-0.002207693589763915,0.3101748144252874,0.3110534315206417,51.86564188244946,28.35097778217779,52.451909789905756,61.057378857806036
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,524,-1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.35,0.01,True,True,success,13,13,0,0,0,1.4345123263520398,0.0,1.3855808282639526,0.048931498088087264,0.07192392861908156,0.7993045653584041,0.0,0.7720401291502512,0.027264436208152876,66.41065526751802,43.502912747442615,-13.67054508135847,92.41148968196458,0.8769589411994996,0.9905088025346365,-0.7752545772518897,-0.3693008558257659,52.52318434194548,88.24465435649849,-66.75770324895697,55.982107674234264
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,337,1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.4,0.02,True,True,success,13,13,0,0,0,2.23535001758528,0.005701178210256252,2.178015669393381,0.05163316998164298,0.06685019816838214,1.340060010570011,0.003417773893392533,1.3056888979300953,0.030953338746523156,52.31454310363972,30.40184398727348,7.524154055188715,96.89362635435599,-0.577939407392094,0.5457623039934489,-0.26248466504756407,0.2840461304959633,46.049965224296216,33.840001385630345,53.061222786666455,48.04771971082554
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,228,1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.35,0.02,True,True,success,16,16,0,0,0,1.1154553930947353,0.042345362104173716,1.004919939315651,0.06819009167491086,0.06276604098214725,0.7122113362513509,0.027037250539071533,0.6416351359599736,0.04353894975230597,61.826568823790396,27.176990452761107,5.2954882655635815,83.12174221118019,0.030210046485925846,-0.43392389379759555,-0.24661968286993874,0.04311063020556494,61.669074856053186,19.871350004028383,43.70961583405117,24.54391391373909
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,686,-1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.4,0.02,True,True,success,12,12,0,0,0,1.7719798188597136,0.0,1.7166588738019988,0.0553209450577147,0.057630532173326296,1.2322180094220538,0.0,1.1937483473678716,0.03846966205418211,54.91211157478404,62.55927101400945,-17.057713822047603,93.0422724944053,0.8628576489184685,0.6521905808864823,0.7164719587432766,-0.16760139711858812,39.15268353469612,102.01993876770294,-76.40480940554943,56.89042342897688
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1559,1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.3,0.02,True,True,success,13,13,0,0,0,2.423236529668785,0.03630059313107393,2.323929532432536,0.06300640410517513,0.057094569084565366,1.7009142446311747,0.025480053304430664,1.6312088386080275,0.044225352718716485,51.84803467058103,33.76253122465517,-9.24628101906982,100.40675697968359,-0.08196342749308672,-0.19940604964788977,-0.8289953311195808,-0.06574863065092063,54.94340566655528,24.10191291001452,42.72611493234175,45.24503879323777
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,799,1.0,touchdown,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.3,0.01,True,True,success,9,9,0,0,0,0.06942092311269085,0.0011802832737671572,0.050489001821755614,0.01775163801716808,0.05693228766419706,0.048866716645597615,0.0008308239895786423,0.03554017485099904,0.012495717805019933,58.24295733277184,17.954846801987674,66.27517460043885,77.40362913591605,-0.8630764785566507,-0.9822360255146194,0.16472485012739035,-0.10880017208169068,45.558207195995706,23.624777465232587,63.45878772590943,72.79581705867886
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,866,1.0,touchdown,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.35,0.0,True,True,success,10,10,0,0,0,0.22683671212309364,0.0,0.20146754499857353,0.025369167124520125,0.056867487946214684,0.15985665093074586,0.0,0.14197845980607696,0.017878191124668902,66.09530435123945,19.947298302450392,53.622917779416454,51.00053889746865,-0.9734557715262622,-0.3956135697622305,-0.9633745321121281,0.4676169366715903,53.70639009017783,26.04287704222486,48.931300202653155,44.54422026186882
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1993,-1.0,pre_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.35,0.01,True,True,success,13,13,0,0,0,3.0942390079262543,0.0,3.094164855781967,7.415214428705364e-05,0.05299063009908316,2.340109521497264,0.0,2.3400534417508574,5.6079746406489875e-05,75.51719597309275,30.011526185353308,8.43059982115664,87.26359761877983,0.9115646177344654,0.01185672978196095,0.528229757786183,0.3445685518047509,48.149363486432755,89.65255624083525,-65.7339195240281,54.61040001005525
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,1139,-1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.3,0.01,True,True,success,13,13,0,0,0,1.3570761368376705,0.0,1.3014186271751411,0.0556575096625293,0.051778386095252774,1.050357436895073,0.0,1.0072793238797455,0.043078113015327366,60.75761555127265,50.60026750222356,3.3541667556731505,100.01479643110612,0.4052452874023098,0.8344550689340557,-0.9561129493573912,0.25075709497690046,40.79138073918903,94.5453886067304,-58.28728401777809,65.3892212411216
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,538,-1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.35,0.01,True,True,success,13,13,0,0,0,3.4826613134943027,0.0090832612248225,3.47357805226948,0.0,0.051565621557733206,2.706651837869836,0.007059321442701596,2.6995925164271344,0.0,67.42817973703855,48.63299816742356,5.173724868743135,94.88660108156904,0.4560320073379749,0.8175252077836219,-0.2223340111029266,-0.45872600279406106,46.41871722042455,96.98783926406381,-64.53285127634575,67.75410275560725
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1962,-1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.35,0.01,True,True,success,13,13,0,0,0,1.1102403996843015,0.0,1.0598742474226177,0.05036615226168385,0.05151687170007117,0.8636722261675598,0.0,0.824491660535367,0.039180565632192826,70.0999379504624,44.48219081434565,-16.361874494251378,96.90426081092937,0.9801574037004905,0.28137696280747515,0.8586232022805997,-0.23751974710549162,55.046762442748005,87.54941029757866,-62.87054437141181,65.32217224026812
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1944,-1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.35,0.0,True,True,success,11,11,0,0,0,0.9753853119089186,0.0,0.9351998984842113,0.04018541342470744,0.05128083890068652,0.7622588945391316,0.0,0.7308541886862555,0.03140470585287618,67.688397653315,53.921375363609236,-21.15182525795518,90.93946144493589,0.9705380498100049,0.4421734843683991,-0.974058276106561,-0.29477333474114975,59.9865263302045,83.09053439109981,-60.82899542842554,64.06272197723347
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,2008,-1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.35,0.02,True,True,success,13,13,0,0,0,1.3006478676363087,0.0,1.255993406913349,0.044654460722959866,0.05055255432704307,1.031093476532667,0.0,0.9956934852704641,0.03539999126220286,63.50648369501873,52.196931355154625,-15.251295375167638,96.75995458705081,0.9176308741112829,0.12610645761914285,-0.2087669798777998,-0.10195638832232112,48.9172497301356,91.00006330927626,-64.56446516711648,62.95850736802926
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1960,-1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.35,0.0,True,True,success,13,13,0,0,0,1.4397248659799902,0.0,1.4122850787721362,0.027439787207854012,0.047921629549073405,1.204007905454364,0.0,1.1810606594194395,0.022947246034924658,63.1076902466156,48.04789849561324,-24.8855865803769,84.47359646499173,0.9696341990206279,-0.045867016887914724,-0.637694380490184,-0.49873625281121536,49.94607485666899,84.0843076666517,-64.60957638437763,43.11249843401024
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1520,1.0,touchdown,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.3,0.01,True,True,success,9,9,0,0,0,0.01750669703104797,0.0,0.0042274045964677855,0.013279292434580188,0.04791358987589478,0.01464289389188786,0.0,0.0035358718343257525,0.011107022057562107,54.31575120041904,18.77333849769251,63.59087033245045,84.34258400133774,-0.9813853018934389,-0.13618973295738157,0.991487574541255,0.48563262824254927,40.507486807236255,29.510648336068186,64.68454502801802,78.67827959121973
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1480,1.0,touchdown,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.3,0.0,True,True,success,12,12,0,0,0,0.2684208046038964,0.005564843233970148,0.23574010000201076,0.0271158613679155,0.047696255163911516,0.2255346646118768,0.00467573686862017,0.1980754229091228,0.022783504834133845,48.523799733694204,24.942783297066402,53.35617149459455,72.34748892952405,-0.005717805022860567,-0.586637544316194,0.04605857005431924,-0.14157331424536357,36.493776657444336,33.44544835136892,65.1362310811142,81.48524532599755
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,890,1.0,mid_cross,active_full,v22_3_active_full_4Nm_grid,,,1.0,4.0,0.2,0.35,0.01,True,True,success,14,14,0,0,0,1.144983626797465,0.0327612182031731,1.0626705150633318,0.049551893530960116,0.04734143754172582,0.9692576680650026,0.02773320178157728,0.8995775321544542,0.041946934128971096,57.314614226636806,23.517859157196234,13.305762528718938,87.73484306213957,-0.20986186097331316,0.5524482534226267,0.033988438137410926,0.4971435529426158,56.8615166478866,19.660231011422386,46.47257243639721,38.072225077912655
