eval_label,seed,episode_index,walk_direction,reset_phase,controller,policy_name,passive_mode,passive_selected_from,curriculum_progress,hip_torque_nm,knee_torque_nm,commanded_step_length_m,commanded_step_height_m,success,valid_for_cmt,terminal_reason,steps,nonzero_torque_steps,negative_sign_steps,positive_sign_steps,action_mask_violations,energy_j,support_knee_energy_j,hip_energy_j,swing_knee_energy_j,signed_com_displacement_m,cmt,support_knee_cmt,hip_cmt,swing_knee_cmt,initial_q1_deg,initial_q2_deg,initial_q3_deg,initial_q4_deg,initial_dq1_rad_s,initial_dq2_rad_s,initial_dq3_rad_s,initial_dq4_rad_s,final_q1_deg,final_q2_deg,final_q3_deg,final_q4_deg
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,153,1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.0,True,True,success+touchdown_event,22,22,0,0,0,1.1172018874989569,0.03786140849185322,0.9755451306220523,0.10379534838505125,0.09570786807200767,0.46780561362552964,0.015853696301846583,0.40848972200691236,0.04346219531677068,67.15983942738227,21.465739524330267,-0.09625503123116355,69.18120760047977,-0.6793170439889373,0.7191566558760969,-0.024238372867171343,0.21795255734766394,53.244599286998636,30.65641335726456,33.158713288196,5.6351178002731395
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,341,1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.4,0.02,True,True,success,14,14,0,0,0,2.3467373819941435,0.011951775409193677,2.2668933524518837,0.06789225413306606,0.08135325566368241,1.1560349504718612,0.005887608131710624,1.1167026888197602,0.03344465352039034,56.126243344576146,34.30635517570267,-0.21887718009235088,102.73845379839231,-0.5045079227473015,-0.18304535201699146,-0.1984011021395904,-0.06447457343192087,48.05919813540046,38.059373072818126,47.21304985406816,31.863111028349774
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1955,-1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.0,True,True,success,15,15,0,0,0,1.403269857460209,0.03450829098841982,1.2624738107995563,0.10628775567223273,0.07941243563802591,0.708164400132894,0.01741471396788598,0.6371112471028815,0.053638439062126446,65.16405761018474,37.77162285744266,-6.900642955300251,97.1492136853141,0.9213576726342712,0.7733129931689724,-0.17357263609274498,0.41415615354472013,42.64363681244847,97.36484473954668,-73.50295969164243,47.54472178699477
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,22,1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.3,0.0,True,True,success,12,12,0,0,0,1.8239645800040685,0.015782711201404738,1.7894463571186465,0.018735511684017103,0.06783070182077822,1.0776345338479463,0.00932473953433055,1.0572404815531873,0.011069312760428433,51.29829179746749,33.417550910361676,15.719287215048304,93.09536147634157,-0.14023805498191622,-0.8111988704852897,0.2777335585751133,0.16297803601741323,44.836209800608096,34.04495842937975,53.07256257557358,63.81699752174469
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,524,-1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.01,True,True,success,12,12,0,0,0,1.2847320151694404,0.030231826014815735,1.1832600806772944,0.07124010847733013,0.06659079731228941,0.7731784526815718,0.01819414180068588,0.7121105316094127,0.042873779271473116,66.41065526751802,43.502912747442615,-13.67054508135847,92.41148968196458,0.8769589411994996,0.9905088025346365,-0.7752545772518897,-0.3693008558257659,52.74101539514174,85.73722416348878,-64.39755428616544,55.26087810599051
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,866,1.0,touchdown,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.35,0.0,True,True,success,11,11,0,0,0,0.09790929424380401,0.00668053151148311,0.08003627711154437,0.011192485620776528,0.06572816117605518,0.059697184370679064,0.004073248861768568,0.04879966123719646,0.006824274271714034,66.09530435123945,19.947298302450392,53.622917779416454,51.00053889746865,-0.9734557715262622,-0.3956135697622305,-0.9633745321121281,0.4676169366715903,55.24278396261148,21.02620892368273,52.712944002730694,46.456953496151705
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,670,-1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.4,0.01,True,True,success,14,14,0,0,0,2.741621924418822,0.01799007518302624,2.6146719538717513,0.10895989536404449,0.0643084506521249,1.7085233888165037,0.01121105136452514,1.6294107321962021,0.06790160525577642,64.9740228197536,45.40793905142391,6.721829603521966,100.92183229650594,0.6971967714962881,0.610753298047241,0.05305327759481626,-0.3325793134496887,39.69807386439189,101.37884287581278,-75.17089562879588,52.52049359538313
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,1076,1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.4,0.02,True,True,success,14,14,0,0,0,1.5226832760832056,0.0,1.5217900789704346,0.000893197112771008,0.06307964239574648,0.967390383096026,0.0,0.9668229175497264,0.0005674655462995927,53.71950898882518,29.491775074797058,9.673432669802171,60.716070998708005,-0.4425222327841365,0.5691653437248796,0.6984076588419763,-0.15183582775628923,38.42332670341702,48.64989575864327,49.7833718440049,45.948768871391174
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,77,1.0,touchdown,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.3,0.01,True,True,success,10,10,0,0,0,0.18342405227510722,0.011217197795873712,0.1637461360937224,0.008460718385511105,0.05754741600436364,0.1277355747976609,0.00781159935298974,0.11403197429885925,0.005892001145811928,55.21265229651608,26.793722169904346,50.40557794332539,66.28171955963475,-0.6493883118273849,-0.6753147270306676,0.02486209402315831,-0.21034236336324486,43.93014215188629,31.588394912599988,59.19419095958304,70.47502227992005
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,686,-1.0,mid_cross,per_step_sign,v22_3_per_step_sign_4Nm_grid,,,1.0,4.0,0.2,0.4,0.02,True,True,success,12,12,0,0,0,2.1736059629596816,0.015438547084658302,2.1052747283199764,0.05289268755504718,0.056687962018274377,1.5366373438015117,0.010914327798411526,1.4883303697295134,0.03739264627358708,54.91211157478404,62.55927101400945,-17.057713822047603,93.0422724944053,0.8628576489184685,0.6521905808864823,0.7164719587432766,-0.16760139711858812,39.64591188948211,101.3828440939678,-73.85549783415019,59.781795272356824
