eval_label,seed,episode_index,walk_direction,reset_phase,controller,policy_name,passive_mode,passive_selected_from,curriculum_progress,hip_torque_nm,knee_torque_nm,commanded_step_length_m,commanded_step_height_m,success,valid_for_cmt,terminal_reason,steps,nonzero_torque_steps,negative_sign_steps,positive_sign_steps,action_mask_violations,energy_j,support_knee_energy_j,hip_energy_j,swing_knee_energy_j,signed_com_displacement_m,cmt,support_knee_cmt,hip_cmt,swing_knee_cmt,initial_q1_deg,initial_q2_deg,initial_q3_deg,initial_q4_deg,initial_dq1_rad_s,initial_dq2_rad_s,initial_dq3_rad_s,initial_dq4_rad_s,final_q1_deg,final_q2_deg,final_q3_deg,final_q4_deg
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1546,1.0,pre_cross,three_expert_selector,v22_3_passive_positive_4Nm_grid,three_expert_selector,three_expert_positive_p0.847,1.0,4.0,0.2,0.3,0.02,True,True,success,18,18,0,0,0,1.2453228872517976,0.025284786235876967,1.1667750246198167,0.05326307639610394,0.10148081842277809,0.49178968941099277,0.009985199258006594,0.4607704016719499,0.021034088481036328,64.31796717665982,20.328839523782268,-12.026456512540602,54.802677875237926,-0.4863754543739902,0.08319283249412512,0.7984786368085086,0.18861424066391164,58.810236951113716,16.775991322331922,54.54911213618768,56.718474026201335
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,790,1.0,mid_cross,three_expert_selector,v22_3_passive_positive_4Nm_grid,three_expert_selector,three_expert_positive_p0.625,1.0,4.0,0.2,0.3,0.01,True,True,success,16,16,0,0,0,1.1424297036100255,0.025105026497832375,1.0704696300188112,0.04685504709338188,0.09878786377788054,0.46345471270440464,0.010184471575120261,0.43426233865546415,0.01900790247382017,62.75782235232259,24.994545822458214,-2.838446858588173,101.88535718894474,-0.9673803828325418,0.23272667811812453,-0.47778244889971133,-0.48996605749116695,48.03570570202064,34.90027313687888,42.29414362721434,53.73995295793493
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,747,1.0,pre_cross,three_expert_selector,v22_3_active_bidirectional_4Nm_grid,three_expert_selector,three_expert_active_p0.655,1.0,4.0,0.2,0.3,0.0,True,True,success,17,17,0,0,0,1.7807201562923505,0.03207693321571224,1.717738700636894,0.030904522439744078,0.0916739790207729,0.7784505022743498,0.014022587819291499,0.7509178517252365,0.013510062729821776,64.72561905696887,23.556762220296882,-24.865516232872913,49.52216918975257,-0.6586022781234271,0.3374379560143601,0.5390311221335518,0.04243616105286141,63.061718795070234,16.04458619895362,39.14267409451693,27.996069465885796
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,341,1.0,mid_cross,three_expert_selector,v22_3_active_bidirectional_4Nm_grid,three_expert_selector,three_expert_active_p0.904,1.0,4.0,0.2,0.4,0.02,True,True,success,15,15,0,0,0,2.1804073041210583,0.005106631552698096,2.0909438332890775,0.08435683927928261,0.08710487267057491,1.0031747409127043,0.002349489370693343,0.9620138559700621,0.038811395571948855,56.126243344576146,34.30635517570267,-0.21887718009235088,102.73845379839231,-0.5045079227473015,-0.18304535201699146,-0.1984011021395904,-0.06447457343192087,44.06864766459657,43.48580393602499,45.93635963071707,26.191845318336277
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,1077,1.0,mid_cross,three_expert_selector,v22_3_passive_positive_4Nm_grid,three_expert_selector,three_expert_positive_p0.874,1.0,4.0,0.2,0.4,0.02,True,True,success,19,19,0,0,0,0.6595570505472256,0.01443441959420109,0.620269645517652,0.02485298543537253,0.086422214790671,0.30584993019008444,0.006693532002361158,0.28763156670556844,0.011524831482154866,63.99655131437142,20.54676364273011,22.693148057379734,78.89675196110866,-0.3505669996597043,0.18027111102149695,-0.13290048218473016,-0.01631393875141285,48.29643330787852,32.978110996003466,53.12270306395681,42.660161318631346
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,7,1.0,mid_cross,three_expert_selector,v22_3_passive_positive_4Nm_grid,three_expert_selector,three_expert_positive_p0.808,1.0,4.0,0.2,0.3,0.0,True,True,success,13,13,0,0,0,0.946064992639151,0.008574036625892099,0.8735945465152535,0.06389640949800547,0.08342389395579375,0.4544770168389121,0.0041188529523037715,0.4196631801367474,0.03069498374986095,57.97530155279033,28.40249509614897,10.47440112955593,95.66176999109317,-0.83887887506476,-0.07251046074681278,0.6248172322740067,-0.09520487866960414,44.89849099687751,36.681123127281026,45.911633826465504,61.506130012802224
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1955,-1.0,mid_cross,three_expert_selector,v22_3_passive_negative_4Nm_grid,three_expert_selector,three_expert_negative_p0.979,1.0,4.0,0.2,0.35,0.0,True,True,success,16,16,0,0,0,0.9702648165464443,0.0,0.9406725505489499,0.029592265997494288,0.08280222177843619,0.46960174692885864,0.0,0.4552792861212307,0.014322460807627961,65.16405761018474,37.77162285744266,-6.900642955300251,97.1492136853141,0.9213576726342712,0.7733129931689724,-0.17357263609274498,0.41415615354472013,43.01479888006045,99.57724905777134,-70.41407783414516,59.79936988109092
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260719,866,1.0,touchdown,three_expert_selector,v22_3_passive_positive_4Nm_grid,three_expert_selector,three_expert_positive_p0.872,1.0,4.0,0.2,0.35,0.0,True,True,success,13,13,0,0,0,0.10609343926139349,0.0017293987648681385,0.05946272419066987,0.044901316305855477,0.08244449088801853,0.05157132602188861,0.0008406494138164942,0.028904440809306275,0.02182623579876584,66.09530435123945,19.947298302450392,53.622917779416454,51.00053889746865,-0.9734557715262622,-0.3956135697622305,-0.9633745321121281,0.4676169366715903,51.88825978839874,22.299064668967944,55.4388945017241,57.31328253788781
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260702,45,1.0,mid_cross,three_expert_selector,v22_3_passive_positive_4Nm_grid,three_expert_selector,three_expert_positive_p0.945,1.0,4.0,0.2,0.3,0.01,True,True,success,15,15,0,0,0,0.9376440414799099,0.014277805794479822,0.8985656485847775,0.024800587100652575,0.07900796489820601,0.47560732346415846,0.007242224872602785,0.4557853344918829,0.012579764099672824,60.63265104560275,22.594708571000535,6.501888585093522,71.01629615449059,-0.33168757912224356,-0.18273687655242798,0.6325647748378294,-0.3511762646854427,51.321571346500306,27.207030255572324,48.97016065991443,61.207407177722665
4DoF_V22_3_3x3_grid_4Nm_three_expert_selector_primary_2160,20260803,1522,1.0,mid_cross,three_expert_selector,v22_3_passive_positive_4Nm_grid,three_expert_selector,three_expert_positive_p0.773,1.0,4.0,0.2,0.3,0.02,True,True,success,13,13,0,0,0,1.1390653318138402,0.006682509841419471,1.0767045825736539,0.05567823939876683,0.07728582277090568,0.5906500020738299,0.0034651431673436883,0.5583135103561965,0.02887134855028975,57.0608161699352,30.486989176705094,8.955284707380144,97.91375547271457,-0.7476022227886383,-0.002207693589763915,0.3101748144252874,0.3110534315206417,43.68564679295276,41.510284300356716,47.13581155421806,66.5304024858387
