case_id,terrain,nominal_length_m,method,status,cmt,time_s,landing_transition_count,foot_placement_mae_per_transition_m,landing_metric_source,source_record
flat_L1145_r1,flat,1.145,LIPM COM,ok,0.287705,,,,,data/paper2/readonly_rerun/flat_L1145_r1__lipm.stdout.txt
flat_L1145_r2,flat,1.145,LIPM COM,ok,0.265392,,,,,data/paper2/readonly_rerun/flat_L1145_r2__lipm.stdout.txt
flat_L1145_r3,flat,1.145,LIPM COM,ok,0.222893,,,,,data/paper2/readonly_rerun/flat_L1145_r3__lipm.stdout.txt
flat_L1280_r1,flat,1.28,LIPM COM,ok,0.227665,,,,,data/paper2/readonly_rerun/flat_L128_r1__lipm.stdout.txt
flat_L1280_r2,flat,1.28,LIPM COM,ok,0.220897,,,,,data/paper2/readonly_rerun/flat_L128_r2__lipm.stdout.txt
flat_L1280_r3,flat,1.28,LIPM COM,ok,0.209072,,,,,data/paper2/readonly_rerun/flat_L128_r3__lipm.stdout.txt
raised_L1145_r1,raised_0.01m,1.145,LIPM COM,ok,0.301544,,,,,results/paper2_source_aligned_r1_rerun_20260721/raised_L1145_r1_lipm_source_aligned_recovery_0p95.stdout.txt
raised_L1145_r2,raised_0.01m,1.145,LIPM COM,ok,0.246012,,,,,data/paper2/readonly_rerun/raised_L1145_r2__lipm.stdout.txt
raised_L1145_r3,raised_0.01m,1.145,LIPM COM,ok,0.209884,,,,,data/paper2/readonly_rerun/raised_L1145_r3__lipm.stdout.txt
raised_L1280_r1,raised_0.01m,1.28,LIPM COM,ok,0.218385,,,,,data/paper2/readonly_rerun/raised_L128_r1__lipm.stdout.txt
raised_L1280_r2,raised_0.01m,1.28,LIPM COM,ok,0.204051,,,,,data/paper2/readonly_rerun/raised_L128_r2__lipm.stdout.txt
raised_L1280_r3,raised_0.01m,1.28,LIPM COM,ok,0.200457,,,,,data/paper2/readonly_rerun/raised_L128_r3__lipm.stdout.txt
flat_L1145_r1,flat,1.145,TVLQR tracking,ok,0.26225,,,,,results/tvlqr_seed0/flat_1.145_r1.stdout.txt
flat_L1145_r2,flat,1.145,TVLQR tracking,ok,0.251662,,,,,results/tvlqr_seed0/flat_1.145_r2.stdout.txt
flat_L1145_r3,flat,1.145,TVLQR tracking,ok,0.221758,,,,,results/tvlqr_seed0/flat_1.145_r3.stdout.txt
flat_L1280_r1,flat,1.28,TVLQR tracking,ok,0.235297,,,,,results/tvlqr_seed0/flat_1.28_r1.stdout.txt
flat_L1280_r2,flat,1.28,TVLQR tracking,ok,0.223641,,,,,results/tvlqr_seed0/flat_1.28_r2.stdout.txt
flat_L1280_r3,flat,1.28,TVLQR tracking,ok,0.217185,,,,,results/tvlqr_seed0/flat_1.28_r3.stdout.txt
raised_L1145_r1,raised_0.01m,1.145,TVLQR tracking,ok,0.278501,,,,,results/tvlqr_seed0/raised_1.145_r1.stdout.txt
raised_L1145_r2,raised_0.01m,1.145,TVLQR tracking,ok,0.23999,,,,,results/tvlqr_seed0/raised_1.145_r2.stdout.txt
raised_L1145_r3,raised_0.01m,1.145,TVLQR tracking,ok,0.225175,,,,,results/tvlqr_seed0/raised_1.145_r3.stdout.txt
raised_L1280_r1,raised_0.01m,1.28,TVLQR tracking,ok,0.224081,,,,,results/tvlqr_seed0/raised_1.28_r1.stdout.txt
raised_L1280_r2,raised_0.01m,1.28,TVLQR tracking,ok,0.217898,,,,,results/tvlqr_seed0/raised_1.28_r2.stdout.txt
raised_L1280_r3,raised_0.01m,1.28,TVLQR tracking,ok,0.218291,,,,,results/tvlqr_seed0/raised_1.28_r3.stdout.txt
flat_L1145_r1,flat,1.145,Unrestricted discrete PPO,ok,0.24260058154419423,1.99,3,0.04056526031165886,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r1/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r1/discrete
flat_L1145_r2,flat,1.145,Unrestricted discrete PPO,ok,0.23219516008024402,2.5500000000000003,3,0.048438333592766745,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r2/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r2/discrete
flat_L1145_r3,flat,1.145,Unrestricted discrete PPO,ok,0.22488253448370082,2.1,3,0.04865924187409402,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r3/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r3/discrete
flat_L1280_r1,flat,1.28,Unrestricted discrete PPO,ok,0.2171195951298242,2.35,3,0.039687177259941676,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r1/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r1/discrete
flat_L1280_r2,flat,1.28,Unrestricted discrete PPO,ok,0.2150008954864457,3.39,3,0.03833028291272526,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r2/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r2/discrete
flat_L1280_r3,flat,1.28,Unrestricted discrete PPO,ok,0.18946016402734994,3.31,3,0.041966032858576786,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r3/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r3/discrete
raised_L1145_r1,raised_0.01m,1.145,Unrestricted discrete PPO,ok,0.25098054963443095,2.42,3,0.040662862411584066,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r1/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r1/discrete
raised_L1145_r2,raised_0.01m,1.145,Unrestricted discrete PPO,ok,0.24133085679392913,2.72,3,0.0487080956108259,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r2/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r2/discrete
raised_L1145_r3,raised_0.01m,1.145,Unrestricted discrete PPO,ok,0.24010378326288317,2.7800000000000002,3,0.04689271101405832,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r3/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r3/discrete
raised_L1280_r1,raised_0.01m,1.28,Unrestricted discrete PPO,ok,0.224470194060896,3.11,3,0.04735843558039075,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r1/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r1/discrete
