case_id,step_height_m,nominal_length_group,initial_grid_index,cmt,time_s,foot_error_m,candidates
flat_1.145_r1,0,1.145,"19;11;15;7",0.195114,2.25,0.082797,121
flat_1.145_r2,0,1.145,"19;14;15;5",0.190378,2.95,0.095961,121
flat_1.145_r3,0,1.145,"19;19;15;4",0.192593,2.98,0.104159,121
raised_1.145_r1,0.01,1.145,"19;11;15;7",0.193443,2.71,0.029872,121
raised_1.145_r2,0.01,1.145,"19;14;15;8",0.182765,2.42,0.082316,121
raised_1.145_r3,0.01,1.145,"19;19;15;4",0.192593,2.98,0.104159,121
flat_1.28_r1,0,1.28,"27;0;15;13",0.187149,2.54,0.096916,121
flat_1.28_r2,0,1.28,"27;1;15;10",0.201917,2.82,0.081779,121
flat_1.28_r3,0,1.28,"27;3;15;9",0.177049,2.99,0.131406,121
raised_1.28_r1,0.01,1.28,"27;0;15;21",0.158622,3.15,0.087111,121
raised_1.28_r2,0.01,1.28,"27;1;15;25",0.183546,2.84,0.036446,121
raised_1.28_r3,0.01,1.28,"27;3;15;9",0.184571,2.53,0.072472,110
