case_id,method,terrain,length_m,replicate,success,cmt,energy_j,distance_m,time_s,recovery_1,recovery_2,recovery_3,coarse_candidates,coarse_success,accepted_fine_candidates,accepted_fine_success,edge_extension_applied,replay_1_exact,replay_2_exact,accepted_result_sha256,landing_transition_count,foot_placement_mae_per_transition_m,landing_metric_source
flat_L1145_r1,Continuous-torque MPC,flat,1.145,1,true,0.19511386157200397,5.344419808660716,1.2431192406621792,2.25,-0.86,-1.06,-0.86,576,153,121,88,false,true,true,a2603939dc600ed136e0e03d82694f0e9fc3629e1401521cd5db18c1d4b4b201,3,0.02813011002224891,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r1/mpc
flat_L1145_r2,Continuous-torque MPC,flat,1.145,2,true,0.20264315899801366,5.538987804150482,1.2405058296937774,3.42,-0.82,-0.92,-0.82,576,143,121,111,false,true,true,3cff4276a1bdcee7958ad46bf5ea66bf18b466d970abedaa4417c8d7b1f5d071,3,0.030981285544883885,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r2/mpc
flat_L1145_r3,Continuous-torque MPC,flat,1.145,3,true,0.22685540044755492,6.559658621959596,1.312297990123183,2.64,-1.19,-0.98,-1.19,576,8,210,168,true,true,true,5a8abe9dcf8ac7c6db203ee66aea730345669fd8d24f02569f0bf260798533b6,3,0.027496725914280262,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r3/mpc
flat_L1280_r1,Continuous-torque MPC,flat,1.28,1,true,0.18714936044447653,5.735431142806764,1.3908428765687255,2.54,-0.36,-1.1,-0.36,576,228,121,77,false,true,true,2e9363b54a627ff80efa1a17816b793f9696eacf6e0b48adc7722540fa5ef450,3,0.03163224302552784,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r1/mpc
flat_L1280_r2,Continuous-torque MPC,flat,1.28,2,true,0.20191743337940996,6.070728867120262,1.3644806059759502,2.82,-0.58,-0.94,-0.58,576,231,121,101,false,true,true,d628d8843865a8189fa72df442d188bc92d8829ff43d5a4f3d436f2b5afea5c7,3,0.02765920732566231,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r2/mpc
flat_L1280_r3,Continuous-torque MPC,flat,1.28,3,true,0.1770488302673606,5.287376832536475,1.355337796313068,2.99,-0.4,-0.85,-0.4,576,240,121,77,false,true,true,15adf0fa13306640c9ee60ccff3530b4a3fbf04a2141e1356ecb5a351098cb38,3,0.04297507899820311,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r3/mpc
raised_L1145_r1,Continuous-torque MPC,raised_0.01m,1.145,1,true,0.22893207093882226,6.234679147342724,1.2359696861224228,2.29,-1.05,-0.84,-1.05,576,36,121,54,false,true,true,03d1f81fc55f2a9cf42dfc6a3cf407b192b5b6dbc51b5f163c642fb7cc26b24a,3,0.03176062662988969,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r1/mpc
raised_L1145_r2,Continuous-torque MPC,raised_0.01m,1.145,2,true,0.19914510750875808,5.534552509032071,1.2612849640952042,2.69,-0.92,-0.92,-0.92,576,59,121,64,false,true,true,b562a292f3c0709711e9ef042ea75d44c8a4250e6ccb71e82cb4ce63bf034e79,3,0.028620037064754984,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r2/mpc
raised_L1145_r3,Continuous-torque MPC,raised_0.01m,1.145,3,true,0.2336846609099357,6.730552019948807,1.3071361533626882,2.79,-0.73,-0.87,-0.73,576,91,121,34,false,true,true,86ef8d15012464c0d33994c6f3d8dbe69cf0add18a25dda03243ffc7e4abc6bd,3,0.023433797532590284,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r3/mpc
raised_L1280_r1,Continuous-torque MPC,raised_0.01m,1.28,1,true,0.16465844581543587,4.997011402081029,1.3772940656232233,2.48,-0.85,-1.12,-0.85,576,90,121,119,false,true,true,aa5b0e9530393edb576ff62ab1d18391ad1e6d4f9d3c1627424bf9a24dbb246d,3,0.027463542993726314,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r1/mpc
raised_L1280_r2,Continuous-torque MPC,raised_0.01m,1.28,2,true,0.17493955405531159,5.314751968472263,1.378781139548889,2.7,-0.65,-1.0,-0.65,576,94,121,97,false,true,true,adc5457ed4a7d4e8ac8840dbb6ec399df5f812b2605ae716595b3c6d30941959,3,0.027994093116874952,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r2/mpc
raised_L1280_r3,Continuous-torque MPC,raised_0.01m,1.28,3,true,0.19525330088538523,5.738626920011977,1.3338590947817777,2.08,-1.11,-0.94,-1.11,576,67,110,100,false,true,true,3aa187f15418681bc165625b34fc2f57c1f93d1841008516493752b2dbe20fa6,3,0.03526892801267536,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r3/mpc
