case_id,controller,push_off_1_rad_s,push_off_2_rad_s,energy_J,com_displacement_m,cmt,completed_steps,control_steps,time_s,old_push_off_1_rad_s,old_push_off_2_rad_s,cmt_minus_search,energy_minus_search_J,displacement_minus_search_m,cmt_reproduced,energy_reproduced,displacement_reproduced,seed,landing_transition_count,foot_placement_mae_per_transition_m,landing_metric_source
flat_1.145_r1,continuous,1.05,0.65,7.22982825148699,1.2427162616164038,0.2640318671094211,3,347,3.47,1.06,0.68,0.0,0.0,0.0,True,True,True,0,3,0.03916727316813806,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r1/continuous
flat_1.145_r1,discrete,0.7000000000000001,0.96,6.476689034780791,1.2116063920685889,0.24260058154419423,3,199,1.99,0.7,0.96,3.3306690738754696e-16,-3.552713678800501e-15,-2.4424906541753444e-15,True,True,True,0,3,0.04056526031165886,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r1/discrete
flat_1.145_r1,passive,0.48,0.53,3.03408014734329,1.2662284095940572,0.10874651379127698,3,255,2.5500000000000003,0.5,0.55,0.0,0.0,0.0,True,True,True,0,3,0.04755038062772534,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r1/passive
flat_1.145_r2,continuous,1.03,0.61,6.877954327354638,1.2319722640607245,0.2533720497336921,3,355,3.5500000000000003,1.02,0.68,0.0,0.0,0.0,True,True,True,0,3,0.04195012478347162,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r2/continuous
flat_1.145_r2,discrete,0.62,0.99,6.15226598449987,1.2024922554324022,0.23219516008024402,3,255,2.5500000000000003,0.62,0.99,0.0,0.0,0.0,True,True,True,0,3,0.048438333592766745,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r2/discrete
flat_1.145_r2,passive,0.55,0.58,3.322559154644984,1.2716404472482674,0.1185792601677367,3,261,2.61,0.55,0.58,0.0,0.0,0.0,True,True,True,0,3,0.044085660787390124,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r2/passive
flat_1.145_r3,continuous,0.8,0.65,6.071820427979371,1.2099990187503311,0.22773734251528494,3,393,3.93,0.8,0.66,0.0,0.0,0.0,True,True,True,0,3,0.04777903685284013,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r3/continuous
flat_1.145_r3,discrete,0.86,0.89,5.893354406092961,1.189343160147871,0.22488253448370082,3,210,2.1,0.86,0.89,0.0,0.0,0.0,True,True,True,0,3,0.04865924187409402,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r3/discrete
flat_1.145_r3,passive,0.61,0.59,3.2177259709112502,1.202598179750182,0.12143080143077968,3,284,2.84,0.61,0.59,0.0,0.0,0.0,True,True,True,0,3,0.05603427166188648,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r3/passive
flat_1.28_r1,continuous,1.07,0.6900000000000001,7.325904614168671,1.381383808314149,0.24068401421752703,3,384,3.84,1.07,0.7,1.3877787807814457e-16,-4.440892098500626e-15,-1.5543122344752192e-15,True,True,True,0,3,0.03222482725759779,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r1/continuous
