action_weight,condition,common_n,proposed_raw,active_raw,continuous_raw
0.02,"flat_0.33",32404,0.6889,1.5969,384.0488
0.02,"flat_0.225",31296,0.3496,2.4763,6.9224
0.02,"raised_0.33",48898,0.2327,1.7781,10.7190
0.02,"raised_0.225",26406,0.2535,3.4997,5.7543
0.04,"flat_0.33",47251,0.1849,1.3812,4.7903
0.04,"flat_0.225",27928,0.1083,1.4895,4.7000
0.04,"raised_0.33",48880,0.2368,1.4681,7.8044
0.04,"raised_0.225",25556,0.3169,2.4475,4.8461
0.06,"flat_0.33",52241,0.4295,1.2706,4.7199
0.06,"flat_0.225",28628,0.2137,4.8350,9.0178
0.06,"raised_0.33",48518,0.2025,1.2285,9.0784
0.06,"raised_0.225",25157,0.1624,3.5889,6.1301
