controller,case_id,push_off_1_rad_s,push_off_2_rad_s,success,failure_mode,completed_transitions,energy_J,com_displacement_m,cmt,continuous_torque_ppo_table_cmt,cmt_below_continuous_table_value,landing_error_abs_m,branch_sequence
active_fallback,flat_1.145_r1,0.48,0.53,1,,3,3.034080147343239,1.2662284095940048,0.10874651379127964,0.2640,1,0.023779187525001966,non_negative|non_negative|non_negative
active_fallback,flat_1.145_r2,0.55,0.58,1,,3,3.322559154644967,1.2716404472482337,0.11857926016773924,0.2534,1,0.019255366215267467,non_negative|non_negative|non_negative
active_fallback,flat_1.145_r3,0.61,0.59,1,,3,3.2177259709111468,1.202598179750034,0.12143080143079071,0.2277,1,0.09496389316725296,non_negative|non_negative|non_negative
active_fallback,flat_1.28_r1,0.51,0.55,1,,3,3.4537706378405204,1.3847766581144274,0.11319157587429907,0.2407,1,0.03101055820387244,non_negative|non_negative|non_negative
active_fallback,flat_1.28_r2,0.44,0.71,1,,3,3.4192043092780793,1.3823555558216487,0.1122549853464225,0.2301,1,0.03379907449603747,non_negative|non_negative|non_negative
active_fallback,flat_1.28_r3,0.53,0.52,1,,3,3.517698730375907,1.3820866481370389,0.11551109964541798,0.2232,1,0.03119167233225717,non_negative|non_negative|non_negative
active_fallback,raised_1.145_r1,0.76,1.16,1,,3,3.980868575118513,1.221923335728866,0.14785439168930964,0.2582,1,0.09917394703975302,non_negative|non_negative|non_negative
active_fallback,raised_1.145_r2,0.74,1.06,1,,3,3.6002545593253794,1.2052168616342256,0.13557148640344938,0.2474,1,0.11596449728618641,non_negative|non_negative|non_negative
active_fallback,raised_1.145_r3,0.71,1.18,1,,3,3.5825656995487036,1.2305912849928704,0.13212368445932926,0.2308,1,0.08975943266621078,non_negative|non_negative|non_negative
active_fallback,raised_1.28_r1,0.59,0.89,1,,3,3.608045909510684,1.3290137552789805,0.12320914014918798,0.2314,1,0.09823139274599879,non_negative|non_negative|non_negative
active_fallback,raised_1.28_r2,0.67,1.19,1,,3,3.5093838705977913,1.3361773362343734,0.11919749326798626,0.2250,1,0.1054396203366661,non_negative|non_negative|non_negative
active_fallback,raised_1.28_r3,0.65,1.06,1,,3,3.520901922952288,1.326234774271306,0.12048524477894551,0.2254,1,0.1160959098668295,non_negative|non_negative|non_negative
