case_id,terrain,nominal_length_m,proposed_selector_cmt,discrete_active_ppo_cmt,continuous_active_ppo_cmt,discrete_minus_proposed,continuous_minus_proposed,proposed_lower_than_discrete,proposed_lower_than_continuous,proposed_source_record,discrete_source_record,continuous_source_record
flat_L1145_r1,flat,1.145,0.10874651379127698,0.24260058154419423,0.2640318671094211,0.13385406775291725,0.15528535331814414,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r1/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r1/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r1/continuous
flat_L1145_r2,flat,1.145,0.1185792601677367,0.23219516008024402,0.2533720497336921,0.11361589991250731,0.1347927895659554,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r2/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r2/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r2/continuous
flat_L1145_r3,flat,1.145,0.12143080143077968,0.22488253448370082,0.22773734251528494,0.10345173305292114,0.10630654108450525,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r3/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r3/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r3/continuous
flat_L1280_r1,flat,1.28,0.11319157587430137,0.2171195951298242,0.24068401421752703,0.10392801925552284,0.12749243834322566,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r1/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r1/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r1/continuous
flat_L1280_r2,flat,1.28,0.11225498534642357,0.2150008954864457,0.23014756046001517,0.10274591014002211,0.1178925751135916,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r2/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r2/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r2/continuous
flat_L1280_r3,flat,1.28,0.11551109964541492,0.18946016402734994,0.22320854424596995,0.07394906438193502,0.10769744460055503,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r3/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r3/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r3/continuous
raised_L1145_r1,raised_0.01m,1.145,0.14785439168930947,0.25098054963443095,0.25817243332390905,0.10312615794512148,0.11031804163459957,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r1/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r1/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r1/continuous
raised_L1145_r2,raised_0.01m,1.145,0.13557148640344793,0.24133085679392913,0.24736340282300093,0.1057593703904812,0.111791916419553,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r2/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r2/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r2/continuous
raised_L1145_r3,raised_0.01m,1.145,0.13212368445931796,0.24010378326288317,0.23083457521884124,0.10798009880356521,0.09871089075952327,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r3/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r3/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r3/continuous
raised_L1280_r1,raised_0.01m,1.28,0.12320914014917492,0.224470194060896,0.23140221463914637,0.10126105391172108,0.10819307448997145,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r1/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r1/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r1/continuous
raised_L1280_r2,raised_0.01m,1.28,0.11919749326798594,0.22253973480066633,0.22497154385730195,0.10334224153268039,0.10577405058931601,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r2/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r2/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r2/continuous
raised_L1280_r3,raised_0.01m,1.28,0.12048524477893445,0.21875777955676068,0.2253669869175364,0.09827253477782623,0.10488174213860195,True,True,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r3/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r3/discrete,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r3/continuous
