batch,controller,n,success_count,success_rate,success_wilson_95_low,success_wilson_95_high,valid_count,valid_rate,valid_wilson_95_low,valid_wilson_95_high,self_valid_mean_cmt,self_valid_sample_sd_cmt,self_valid_median_cmt,self_valid_q25_cmt,self_valid_q75_cmt,route_positive_count,route_negative_count,route_active_count,route_hard_mask_count
batch01,active,2160,1043,0.4828703703703704,0.46184599534405824,0.5039555657184004,534,0.24722222222222223,0.22948884426887728,0.26585311086902547,1.6580059051050975,3.7236853639465677,0.5780346708098028,0.19888754883640064,1.6362017874327528,0,0,2160,0
batch01,positive_expert,2160,787,0.36435185185185187,0.34431421160370906,0.38487112329630097,470,0.2175925925925926,0.20070175333906104,0.23548614525822953,0.18376492662206506,0.7574339214698326,0.04689442799006336,0.021990284447947945,0.1383989349200837,2160,0,0,0
batch01,negative_expert,2160,957,0.44305555555555554,0.4222263480094165,0.46408694957659447,510,0.2361111111111111,0.21867940898180707,0.2544797749533661,0.6943711273691553,2.0036822501415714,0.12870869463139173,0.05672197162128252,0.4690507054655801,0,2160,0,0
batch01,proposed_phase_aware_three_expert,2160,1038,0.48055555555555557,0.45953885324647514,0.5016412971487482,569,0.26342592592592595,0.2452813826893168,0.2824104471192332,0.6784309036154349,1.9459283960057792,0.09426478928733457,0.03370262776688601,0.4866799226765912,290,516,1354,0
batch01,released_two_expert_selector,2160,1006,0.46574074074074073,0.44478385402210574,0.4868192681028114,547,0.25324074074074077,0.23535074893991853,0.27200687393279604,0.4547747644802097,1.8120300011064823,0.05881578483757777,0.024528608190208658,0.20700367031071948,1009,1151,0,0
batch01,true_hard_mask,2160,1013,0.4689814814814815,0.4480099248485122,0.4900631722105345,509,0.23564814814814813,0.21822937770650017,0.2540055240952259,1.4235650475102892,2.0633006027883543,0.7696571361300514,0.40985502575576227,1.6028476092585051,0,0,0,2160
batch02,active,2160,1063,0.49212962962962964,0.471079077236762,0.5132081264946379,548,0.2537037037037037,0.23580185776101387,0.2724800472451477,1.5992684540541764,3.393758590028519,0.5706450521097619,0.16202030661905623,1.597584961896573,0,0,2160,0
batch02,positive_expert,2160,849,0.39305555555555555,0.3726649433861378,0.41382588378759017,510,0.2361111111111111,0.21867940898180707,0.2544797749533661,0.16024883625557312,0.28699018345200805,0.052652395638861926,0.023048167699669365,0.14676866262899357,2160,0,0,0
batch02,negative_expert,2160,990,0.4583333333333333,0.43741332080794415,0.47940128718181996,521,0.2412037037037037,0.22363167996195038,0.2596946074411405,0.6766537008304196,1.7952611343593863,0.13236079740382678,0.053951837099981866,0.5232915095611488,0,2160,0,0
batch02,proposed_phase_aware_three_expert,2160,1074,0.49722222222222223,0.47616034806724944,0.5182939591320681,591,0.27361111111111114,0.25522477309844765,0.2928012636459378,0.6961449794036092,1.8292396515673344,0.09822061798154935,0.031019204811210996,0.5992630555474334,289,517,1354,0
batch02,released_two_expert_selector,2160,1044,0.48333333333333334,0.46230747795469823,0.5044183652412074,570,0.2638888888888889,0.2457330818165845,0.2828830301254125,0.39109433751739875,1.4700747094098126,0.05349539667198204,0.024652310404448638,0.2071096263865497,1049,1111,0,0
batch02,true_hard_mask,2160,1027,0.475462962962963,0.4544647312113049,0.4965483157160007,508,0.2351851851851852,0.2177793758830038,0.25353124378527525,1.4481288532205738,2.2211768788159705,0.7766678735209278,0.38939690281526756,1.5721455171407843,0,0,0,2160
batch03,active,2160,1058,0.4898148148148148,0.4687701300803032,0.5108956629838614,527,0.2439814814814815,0.22633439006960956,0.2625375901341637,1.6716960189361099,3.5926171056057226,0.6821676028468449,0.2113389281546611,1.7083483546926752,0,0,2160,0
batch03,positive_expert,2160,817,0.37824074074074077,0.3580228257180993,0.39889097318532274,455,0.21064814814814814,0.19397311338014958,0.228350553215435,0.16440216751657835,0.3188402233260524,0.05102568475547545,0.0209692093537444,0.14217066369959075,2160,0,0,0
