walk_direction,commanded_step_length_m,commanded_step_height_m,controller,n,success_count,success_rate,success_wilson_95_low,success_wilson_95_high,valid_count,valid_rate,valid_wilson_95_low,valid_wilson_95_high,self_valid_mean_cmt,self_valid_sample_sd_cmt,self_valid_median_cmt,self_valid_q25_cmt,self_valid_q75_cmt,route_positive_count,route_negative_count,route_active_count,route_hard_mask_count
-1.0,0.3,0.0,active,600,358,0.5966666666666667,0.5569191470800464,0.6351842573906382,185,0.30833333333333335,0.27269878773134837,0.3464065309905704,2.4388022392774142,5.894062987904006,0.8419259885325635,0.19362731539382783,2.122554463332495,0,0,600,0
-1.0,0.3,0.0,positive_expert,600,248,0.41333333333333333,0.3746043320514548,0.45316502945758674,121,0.20166666666666666,0.1715049695752588,0.2356241786962493,0.07967583279303057,0.09036768305757927,0.05008934801137017,0.028021054816759847,0.08848755740518158,600,0,0,0
-1.0,0.3,0.0,negative_expert,600,350,0.5833333333333334,0.5434772736089304,0.6221291095554529,179,0.29833333333333334,0.26310128834817,0.3361312643940227,0.8038028867452823,2.635238441084833,0.15557835447754165,0.06778699841684299,0.5787541260144733,0,600,0,0
-1.0,0.3,0.0,proposed_phase_aware_three_expert,600,359,0.5983333333333334,0.558601468961459,0.6368140631725133,179,0.29833333333333334,0.26310128834817,0.3361312643940227,1.2504337603604792,2.8998417737001336,0.4538256431567878,0.0650496394328112,1.2656109500950445,22,241,337,0
-1.0,0.3,0.0,released_two_expert_selector,600,349,0.5816666666666667,0.541799114298437,0.6204951412026586,174,0.29,0.2551191238284465,0.3275527905973079,0.752287465744418,2.680966363715811,0.0862424521138238,0.03652861927802634,0.44562191021230857,130,470,0,0
-1.0,0.3,0.0,true_hard_mask,600,354,0.59,0.5501945105891836,0.6286603832283503,178,0.2966666666666667,0.2615036970694153,0.3344167280094898,1.577373494341529,1.9417075956722123,0.9033393053861591,0.5462155388348295,1.6523799606170937,0,0,0,600
-1.0,0.3,0.01,active,600,364,0.6066666666666667,0.5670201021394037,0.6449560683110069,194,0.3233333333333333,0.28713254163546603,0.3617819260560416,1.6892556317163008,4.449809228310756,0.505746410227853,0.1037353020114456,1.5573727735820528,0,0,600,0
-1.0,0.3,0.01,positive_expert,600,279,0.465,0.42543972667536817,0.5050055923955911,142,0.23666666666666666,0.2043995651449481,0.272284264055601,0.10680959992213238,0.1473286922819288,0.05959023293927174,0.03295996621927224,0.12168940979449498,600,0,0,0
-1.0,0.3,0.01,negative_expert,600,351,0.585,0.5451558920932663,0.6237626187344044,179,0.29833333333333334,0.26310128834817,0.3361312643940227,0.7067431243104277,2.6920510654801206,0.13664357809665353,0.05422475140516331,0.4588832324858886,0,600,0,0
-1.0,0.3,0.01,proposed_phase_aware_three_expert,600,364,0.6066666666666667,0.5670201021394037,0.6449560683110069,188,0.31333333333333335,0.2775051040209626,0.35153659769081913,0.8810500763730189,2.6504515319442037,0.20618490832733571,0.046273281057744045,0.8698149076298155,44,245,311,0
-1.0,0.3,0.01,released_two_expert_selector,600,360,0.6,0.5602842577964939,0.6384434020007659,181,0.3016666666666667,0.26629818895612284,0.33955861911264523,0.6669910980084954,2.6829997871395004,0.06643952354365135,0.03522831030416646,0.38534811142802644,167,433,0,0
-1.0,0.3,0.01,true_hard_mask,600,370,0.6166666666666667,0.5771380492953796,0.654710887134757,187,0.31166666666666665,0.2759024447670414,0.34982712928145254,1.4364529688867487,1.8813731283283517,0.9328059461141847,0.5374479402965626,1.592860232905263,0,0,0,600
-1.0,0.3,0.02,active,600,379,0.6316666666666667,0.5923473624908886,0.6693107229088371,179,0.29833333333333334,0.26310128834817,0.3361312643940227,2.3926022391436894,7.635356569617998,0.32927642275570035,0.0816126889567956,1.4805269906378546,0,0,600,0
-1.0,0.3,0.02,positive_expert,600,260,0.43333333333333335,0.39423111501886426,0.47328377844962927,116,0.19333333333333333,0.16372559988686522,0.22684291006820453,0.08287623213936902,0.11476106046351034,0.04787151583226558,0.02447602189032238,0.08635459223729962,600,0,0,0
-1.0,0.3,0.02,negative_expert,600,350,0.5833333333333334,0.5434772736089304,0.6221291095554529,167,0.2783333333333333,0.24396887405645667,0.31551814672628403,1.0143095309506598,4.643553146677672,0.11315847711533189,0.04090950669831031,0.3675485753141339,0,600,0,0
-1.0,0.3,0.02,proposed_phase_aware_three_expert,600,370,0.6166666666666667,0.5771380492953796,0.654710887134757,175,0.2916666666666667,0.2567143926453856,0.3292696494436565,1.581222115368807,6.614803229266932,0.15289277249296815,0.03916648863426593,0.7099336033868111,28,238,334,0
-1.0,0.3,0.02,released_two_expert_selector,600,353,0.5883333333333334,0.5485145097653442,0.6270282563889021,160,0.26666666666666666,0.23284852244066429,0.30345360469906274,1.0050970536162853,4.747552999266321,0.058408800906376596,0.024022401317610027,0.27288146721704837,149,451,0,0
-1.0,0.3,0.02,true_hard_mask,600,363,0.605,0.5653354357075326,0.6433286070795903,166,0.27666666666666667,0.24237839505342534,0.3137964980660278,1.12080932401371,1.4973717836161144,0.606017540810731,0.3717056857221108,1.1009249388527405,0,0,0,600
-1.0,0.35,0.0,active,600,371,0.6183333333333333,0.5788260422730251,0.6563350218203989,183,0.305,0.2694973623831972,0.34298370101214615,1.5452113410484944,2.50542070969734,0.5741010541160901,0.1545516699983508,1.8160981564250722,0,0,600,0
-1.0,0.35,0.0,positive_expert,600,284,0.47333333333333333,0.4336792400859655,0.513326717301432,126,0.21,0.17930553513436756,0.24438425145357887,0.13373784056641175,0.29005525763230205,0.058410765870791886,0.026626107538207874,0.130508528570541,600,0,0,0
-1.0,0.35,0.0,negative_expert,600,341,0.5683333333333334,0.5283902809874657,0.6074069532073287,168,0.28,0.24555996300347405,0.31723918544255436,0.6255317543818367,1.483916578515326,0.10890765409498718,0.05363804142979763,0.443113345088301,0,600,0,0
-1.0,0.35,0.0,proposed_phase_aware_three_expert,600,367,0.6116666666666667,0.5720769373489643,0.6498356160913092,180,0.3,0.2646994532170419,0.33784522718843846,0.8196413053055459,1.3138643240828527,0.30089412641966773,0.067304323478999,1.1556492550447053,15,222,363,0
-1.0,0.35,0.0,released_two_expert_selector,600,360,0.6,0.5602842577964939,0.6384434020007659,170,0.2833333333333333,0.24874395753830095,0.3206794462343028,0.6005203361252696,1.4911065669862626,0.0657658565075867,0.03165863314948221,0.37854912781122896,164,436,0,0
-1.0,0.35,0.0,true_hard_mask,600,371,0.6183333333333333,0.5788260422730251,0.6563350218203989,175,0.2916666666666667,0.2567143926453856,0.3292696494436565,1.5306112401144316,1.8635214950402719,0.9115152851680686,0.5226066242927387,1.6749558968119618,0,0,0,600
-1.0,0.35,0.01,active,600,362,0.6033333333333334,0.5636512401815564,0.6417006749422788,173,0.28833333333333333,0.2535244428850456,0.3258353438774211,1.477105353053594,3.497604434948207,0.581363852138913,0.08370542725338777,1.6341166007271886,0,0,600,0
-1.0,0.35,0.01,positive_expert,600,281,0.4683333333333333,0.42873420347591623,0.5083353709216182,133,0.22166666666666668,0.19026019294103996,0.25661448728992015,0.12367756606069666,0.22172991961198568,0.05433359413446845,0.021948730986885576,0.1226542900601867,600,0,0,0
-1.0,0.35,0.01,negative_expert,600,335,0.5583333333333333,0.518352695947865,0.5975717722672031,153,0.255,0.22175928577424098,0.2913579477224725,0.5606224726297993,1.7525965396846752,0.08863772544235225,0.04719558644286829,0.2555140727695485,0,600,0,0
-1.0,0.35,0.01,proposed_phase_aware_three_expert,600,362,0.6033333333333334,0.5636512401815564,0.6417006749422788,171,0.285,0.25033685666577143,0.32239867477011985,0.9514694162826078,2.1812485379157027,0.23998670985336412,0.054772106869218434,1.0539256591526114,16,215,369,0
