batch,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
batch01,active,proposed_phase_aware_three_expert,2160,1043,1038,-0.2314814814814825,37,42,0.6529643755164601,510,0.9550561797752809,0.8963093145869947,1.3785272126296906,2.5787995359274847,0.6997124592185822,1.9970515116045089,-0.6788147534111081,0.49242027809969413,0.5411764705882353,0.40980392156862744
batch01,true_hard_mask,proposed_phase_aware_three_expert,2160,1013,1038,1.157407407407407,88,63,0.05044785478187963,474,0.931237721021611,0.8330404217926186,1.3088387847540695,1.9414525474549171,0.4631176833222354,1.015607829391105,-0.8457211014318342,0.6461613999242426,0.8164556962025317,0.0189873417721519
batch01,released_two_expert_selector,proposed_phase_aware_three_expert,2160,1006,1038,1.4814814814814836,56,24,0.0004515172719148108,531,0.9707495429616088,0.9332161687170475,0.40696089744091934,1.6596194112420324,0.5748775300340523,1.8151331553197056,0.16791663259313303,-0.4126112205104675,0.064030131826742,0.6986817325800376
batch01,active,true_hard_mask,2160,1043,1013,-1.3888888888888895,53,83,0.012604512869782388,471,0.8820224719101124,0.925343811394892,1.1885338507261394,1.942241353314522,1.2740863588865865,1.790624521172561,0.08555250816044703,-0.07198154945959545,0.3991507430997877,0.025477707006369428
batch02,active,proposed_phase_aware_three_expert,2160,1063,1074,0.5092592592592593,46,35,0.2664123096713203,528,0.9635036496350365,0.8934010152284264,1.4826500546370212,2.893234181493558,0.7393052446629942,1.9102476517770492,-0.743344809974027,0.5013622787448727,0.4981060606060606,0.45454545454545453
batch02,true_hard_mask,proposed_phase_aware_three_expert,2160,1027,1074,2.1759259259259256,93,46,8.27371081788554e-05,483,0.9507874015748031,0.817258883248731,1.3387893955998638,1.7696389250987516,0.5968246758175098,1.3625019766560356,-0.7419647197823541,0.5542057042137729,0.8033126293995859,0.024844720496894408
batch02,released_two_expert_selector,proposed_phase_aware_three_expert,2160,1044,1074,1.3888888888888895,59,29,0.0018240286456271994,550,0.9649122807017544,0.9306260575296108,0.3934378589357489,1.4943818733578207,0.6097389412978211,1.6992642628480379,0.2163010823620722,-0.5497719079378065,0.08727272727272728,0.6527272727272727
batch02,active,true_hard_mask,2160,1063,1027,-1.6666666666666663,41,77,0.0011783931030854508,481,0.8777372262773723,0.9468503937007874,1.3137956278358462,2.449905938073241,1.3128793265403633,1.6592912896506,-0.0009163012954831531,0.0006974458401816097,0.3783783783783784,0.029106029106029108
batch03,active,proposed_phase_aware_three_expert,2160,1058,1061,0.1388888888888884,35,32,0.8071946913670247,502,0.952561669829222,0.9077757685352622,1.4317527337669584,2.8007452141716684,0.8319938878097333,2.2003843387400117,-0.5997588459572251,0.4188983417403733,0.5358565737051793,0.4063745019920319
batch03,true_hard_mask,proposed_phase_aware_three_expert,2160,1029,1061,1.4814814814814836,91,59,0.011121593847224857,452,0.9358178053830227,0.8173598553345389,1.4630418629355606,2.2259334893413727,0.7171594772335166,2.035620448920558,-0.7458823857020441,0.5098161608345559,0.7964601769911505,0.015486725663716814
