commanded_step_length_m,commanded_step_height_m,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
0.3,0.0,active,proposed_phase_aware_three_expert,1200,584,580,-0.3333333333333355,13,17,0.5846647117286922,294,0.9545454545454546,0.9333333333333333,1.6073973794587524,3.1065139282598526,1.027298881641084,2.6549584561081336,-0.5800984978176685,0.3608930219937281,0.4931972789115646,0.4965986394557823
0.3,0.0,true_hard_mask,proposed_phase_aware_three_expert,1200,565,580,1.250000000000001,57,42,0.15906965188123823,257,0.9311594202898551,0.8158730158730159,1.3733214940214558,1.9944023218873945,0.91997033688226,2.494017775935662,-0.45335115713919577,0.3301129117346451,0.7276264591439688,0.0
0.3,0.0,released_two_expert_selector,proposed_phase_aware_three_expert,1200,554,580,2.166666666666667,41,15,0.0006855641563783821,290,0.9731543624161074,0.9206349206349206,0.4987311471456347,2.105094352803025,0.9451030271953966,2.518580377355337,0.44637188004976214,-0.8950150448883367,0.04827586206896552,0.5827586206896552
0.3,0.0,active,true_hard_mask,1200,584,565,-1.5833333333333366,39,58,0.06705179535289094,256,0.8311688311688312,0.927536231884058,1.3879842211533102,2.7339846510433214,1.401369989691978,2.01497521188791,0.013385768538667839,-0.009644035093961723,0.4375,0.0
0.3,0.01,active,proposed_phase_aware_three_expert,1200,579,583,0.3333333333333355,23,19,0.6439689563703723,305,0.9472049689440993,0.9214501510574018,1.3340613347671044,2.841606054181241,0.8177296501363261,2.336264140912243,-0.5163316846307783,0.387037440614316,0.4721311475409836,0.4885245901639344
0.3,0.01,true_hard_mask,proposed_phase_aware_three_expert,1200,581,583,0.16666666666666496,34,32,0.9021585000966994,276,0.9230769230769231,0.8338368580060423,1.3509000120038992,1.9014385652011736,0.6145742273099135,1.2380165709564839,-0.7363257846939857,0.5450631269162061,0.7753623188405797,0.0
0.3,0.01,released_two_expert_selector,proposed_phase_aware_three_expert,1200,562,583,1.7500000000000016,30,9,0.0010650196345523,309,0.9566563467492261,0.9335347432024169,0.47882424842302906,2.1131433850273673,0.7459505676846016,2.279931302395835,0.2671263192615725,-0.5578796816187412,0.06796116504854369,0.598705501618123
0.3,0.01,active,true_hard_mask,1200,579,581,0.16666666666667052,38,36,0.9075606176124984,276,0.8571428571428571,0.9230769230769231,1.0891557455505982,1.9621766818212576,1.3724236233435225,1.9199440620646095,0.28326787779292406,-0.26008023090373045,0.391304347826087,0.007246376811594203
0.3,0.02,active,proposed_phase_aware_three_expert,1200,606,599,-0.5833333333333357,16,23,0.3367836351899315,306,0.9622641509433962,0.9216867469879518,1.8229947742784862,5.26728185121882,1.2491902140280713,5.121823636600737,-0.573804560250415,0.31475930065543833,0.45098039215686275,0.5196078431372549
0.3,0.02,true_hard_mask,proposed_phase_aware_three_expert,1200,572,599,2.2499999999999964,63,36,0.008633586943417947,271,0.9409722222222222,0.8162650602409639,1.2278986080981413,1.8387780391854436,0.6235068333950616,1.7172841753326515,-0.6043917747030798,0.49221635297657484,0.7490774907749077,0.007380073800738007
0.3,0.02,released_two_expert_selector,proposed_phase_aware_three_expert,1200,551,599,3.9999999999999982,63,15,3.748661169432698e-08,290,0.9666666666666667,0.8734939759036144,0.6753465904694375,3.5686977976426593,0.9261215216605827,3.6841412207796864,0.2507749311911453,-0.37132775189822165,0.07931034482758621,0.6275862068965518
