walk_direction,commanded_step_length_m,commanded_step_height_m,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
-1.0,0.3,0.0,active,proposed_phase_aware_three_expert,600,358,359,0.16666666666667052,9,8,1.0,176,0.9513513513513514,0.9832402234636871,1.7331290710284435,3.318730452008329,1.236547440426338,2.9062387597761847,-0.49658163060210575,0.28652316720267845,0.4318181818181818,0.5568181818181818
-1.0,0.3,0.0,true_hard_mask,proposed_phase_aware_three_expert,600,354,359,0.8333333333333415,34,29,0.6146550157654618,162,0.9101123595505618,0.9050279329608939,1.4514258631442125,1.7730510733339484,1.0292403542171524,2.542537507760138,-0.42218550892706025,0.29087638552373796,0.7469135802469136,0.0
-1.0,0.3,0.0,released_two_expert_selector,proposed_phase_aware_three_expert,600,349,359,1.6666666666666718,20,10,0.09873714670538905,169,0.9712643678160919,0.9441340782122905,0.7653839896983392,2.7181697878976765,1.2474833840232946,2.93925333077582,0.48209939432495547,-0.6298791205639998,0.0650887573964497,0.4911242603550296
-1.0,0.3,0.0,active,true_hard_mask,600,358,354,-0.666666666666671,28,32,0.6988834276200058,164,0.8864864864864865,0.9213483146067416,1.4670643650166522,2.739579796484257,1.481851782297613,1.7954828832276473,0.014787417280960568,-0.010079596801325641,0.4146341463414634,0.0
-1.0,0.3,0.01,active,proposed_phase_aware_three_expert,600,364,364,0.0,13,13,1.0,180,0.9278350515463918,0.9574468085106383,1.317402134459389,3.040985986536615,0.8802954959173559,2.7016831707649813,-0.43710663854203297,0.3317943907244425,0.4444444444444444,0.5111111111111111
-1.0,0.3,0.01,true_hard_mask,proposed_phase_aware_three_expert,600,370,364,-1.0000000000000009,17,23,0.42959050784338615,171,0.9144385026737968,0.9095744680851063,1.385042169935585,1.8976976555785454,0.5135421471449269,0.7390793963308753,-0.8715000227906579,0.629222735385154,0.8362573099415205,0.0
-1.0,0.3,0.01,released_two_expert_selector,proposed_phase_aware_three_expert,600,360,364,0.666666666666671,10,6,0.454498291015625,178,0.9834254143646409,0.9468085106382979,0.675329078773859,2.704748000278089,0.8389111171837582,2.704508339703002,0.16358203840989935,-0.24222566975333293,0.09550561797752809,0.5449438202247191
-1.0,0.3,0.01,active,true_hard_mask,600,364,370,1.0000000000000009,28,22,0.47988766169832786,175,0.9020618556701031,0.9358288770053476,0.962635417692937,1.4615199124923781,1.4543533935621034,1.9358995230929155,0.4917179758691665,-0.5108039521832919,0.32571428571428573,0.0
-1.0,0.3,0.02,active,proposed_phase_aware_three_expert,600,379,370,-1.5000000000000013,5,14,0.063568115234375,175,0.9776536312849162,1.0,2.0788458614278165,6.699000474511838,1.581222115368807,6.614803229266932,-0.4976237460590098,0.23937500864889805,0.4057142857142857,0.5657142857142857
-1.0,0.3,0.02,true_hard_mask,proposed_phase_aware_three_expert,600,363,370,1.1666666666666714,26,19,0.3712980344710104,158,0.9518072289156626,0.9028571428571428,1.012867740662394,1.3429395212575872,0.6359331292844068,1.8461924627891975,-0.37693461137798745,0.3721459340105747,0.7974683544303798,0.006329113924050633
