batch,seed,route_manifest_schema,route_bank_sha256,hard_mask_replay_sha256,validation
batch01,20263101,validated-three-source-route-bank/v1,12cf99c9421f365de0cc37b6f798464582a240846c9dfb36065e862ebd80bc87,dc486085790fc3147e553664b9b2fe5b1d832101d357a53b839df671ffdde534,PASS
batch01,20263102,phase-aware-three-expert-route-bank-seed/v1,0f0973295d0e18559045df3acc76b4f292463375f2ba5127a4cc270cb08bdf92,68b14641432e1e24e83192ef1d4f7a5e8cae5cc6aec24ac954555180c17e03c0,PASS
batch01,20263103,phase-aware-three-expert-route-bank-seed/v1,82134ad65cf3764bdb826a76f1dbd2150c66a05fa7385fdf5474c708c695059b,2608e651cde4fb1b629728cd235ad1ca0db5ec5358b3171370b2fc07572c6af2,PASS
batch02,20263104,phase-aware-three-expert-route-bank-seed/v1,5d5aee9d893743d1ad3d9095e0c88836ad8383352451784a1bf375b36ffaae3f,010e9de13d36ec0ac69e0b933df50eff81d15ad05be792cba74693dcf64fb30a,PASS
batch02,20263105,phase-aware-three-expert-route-bank-seed/v1,b2e4e9ffa3703abb9390961ebf4ce4d4b7993954b4ba1c29316e7c9ac14e1000,308958788c5a4b1eb3d0541c6502662dcb4af709b2ef02cfd56dc077377ca84d,PASS
batch02,20263106,phase-aware-three-expert-route-bank-seed/v1,ba3fcce882a719d8eec9812ad3ab35d5eda6a2f7a0609c233d492cfdbb40dd18,23e3fbf8851bf901c1362594b1ab947c9bdf6677cb3f2e50dfda6c66c77cd393,PASS
batch03,20263107,phase-aware-three-expert-route-bank-seed/v1,ec769de6100eb7ddf08c2cb611932b38d1fd4f185fbaeeb018a62983870d39c1,1aa15a46a43a206edc0cdcfec4497bd88e3b1bd79051bd664a33dabfcea07d33,PASS
batch03,20263108,phase-aware-three-expert-route-bank-seed/v1,30a5124760ccd818570f6f5a10cf725534e093dd5bc2d9a8f09d9fb7c422e6ed,b38e55712e49339d2038e48f544e9fa948bd2bbaf4b0e855cdc645217bb80f9f,PASS
batch03,20263109,phase-aware-three-expert-route-bank-seed/v1,7568d6d5e36d3f6396536260fdd9b583994cb4de8dcce9d0a47e73e865f013f6,428cb931b2464546054e5d9005a00fce8b8a4f05729b6a9481dd482c0f517429,PASS
batch04,20263110,phase-aware-three-expert-route-bank-seed/v1,36ce578470705f8966509324188befaf3a5989883cecd65553f01d1b09b07ea1,065cc0b391fc952400e79c27d0f388985b3c97c88a5dd570eb42da5ee522c6ad,PASS
batch04,20263111,phase-aware-three-expert-route-bank-seed/v1,f59a86400d9a41e6c653b6d88cb142ed82ef76a9564361834be636f69ec66333,9a8cdebff5662243a00c0424c0b77e203ad8ae58a1ff8cec84b1993201ff83b7,PASS
batch04,20263112,phase-aware-three-expert-route-bank-seed/v1,3abded02ffc40007eeb90fb10bbec04f2ccef92902041dec9501d1f59d13dbcb,4a9c8b96f206abaafcc54a5741b41f7d081672138643d1b5a14d5b6674fee97a,PASS
batch05,20263113,phase-aware-three-expert-route-bank-seed/v1,a8057cf56f37de8e020aa4006f492041781114b16485ba87a3ed4b83bd089cea,f4a55c367a39995c881accb5f1f7737ab7dbc3a2d3363ff91a85f2c128fd706b,PASS
batch05,20263114,phase-aware-three-expert-route-bank-seed/v1,ab7ab2afd97200fceb74aca4e607166e40b82e073f16dbddc628de3de7529574,e09e6401136b0ed860d288d7a1764b85f26bd219eef8e2d282b95903aedc2d7b,PASS
batch05,20263115,phase-aware-three-expert-route-bank-seed/v1,56410bb46ba05629bafa98a4c0aedc1301f9a8df5d78b0d5a0cae0daafd9a391,36fbf01c584ce1978beaf7d14374e73febee96f96f19ccddcefb78150f62a2d1,PASS
