controller,success,terminal_reason,count,fraction_of_controller_cases
active,False,clearance,202,0.018703703703703705
active,False,clearance_ground+foot_ground_after_ready,173,0.01601851851851852
active,False,clearance_ground+foot_ground_bad_clearance,475,0.04398148148148148
active,False,clearance_ground+foot_ground_before_ready,4440,0.4111111111111111
active,False,clearance_ground+knee_ground,131,0.012129629629629629
active,False,q1_low_limit,124,0.011481481481481481
active,False,speed,26,0.0024074074074074076
active,True,success,5187,0.4802777777777778
active,True,success+touchdown_event,42,0.0038888888888888888
positive_expert,False,clearance,440,0.040740740740740744
positive_expert,False,clearance_ground+foot_ground_after_ready,193,0.01787037037037037
positive_expert,False,clearance_ground+foot_ground_bad_clearance,495,0.04583333333333333
positive_expert,False,clearance_ground+foot_ground_before_ready,5325,0.4930555555555556
positive_expert,False,clearance_ground+knee_ground,123,0.01138888888888889
positive_expert,False,q1_high_limit,1,9.259259259259259e-05
positive_expert,False,q1_low_limit,94,0.008703703703703703
positive_expert,False,q3_high_limit,4,0.00037037037037037035
positive_expert,False,speed,64,0.005925925925925926
positive_expert,True,success,4046,0.37462962962962965
positive_expert,True,success+touchdown_event,15,0.001388888888888889
negative_expert,False,clearance,358,0.03314814814814815
negative_expert,False,clearance_ground+foot_ground_after_ready,243,0.0225
negative_expert,False,clearance_ground+foot_ground_bad_clearance,682,0.06314814814814815
negative_expert,False,clearance_ground+foot_ground_before_ready,4410,0.4083333333333333
negative_expert,False,clearance_ground+knee_ground,155,0.014351851851851852
negative_expert,False,q1_low_limit,86,0.007962962962962963
negative_expert,False,q3_low_limit,2,0.00018518518518518518
negative_expert,False,speed,2,0.00018518518518518518
negative_expert,True,success,4825,0.44675925925925924
negative_expert,True,success+touchdown_event,37,0.003425925925925926
proposed_phase_aware_three_expert,False,clearance,182,0.01685185185185185
proposed_phase_aware_three_expert,False,clearance_ground+foot_ground_after_ready,184,0.017037037037037038
proposed_phase_aware_three_expert,False,clearance_ground+foot_ground_bad_clearance,440,0.040740740740740744
proposed_phase_aware_three_expert,False,clearance_ground+foot_ground_before_ready,4464,0.41333333333333333
proposed_phase_aware_three_expert,False,clearance_ground+knee_ground,132,0.012222222222222223
proposed_phase_aware_three_expert,False,q1_low_limit,120,0.011111111111111112
proposed_phase_aware_three_expert,False,q3_high_limit,4,0.00037037037037037035
proposed_phase_aware_three_expert,False,speed,27,0.0025
proposed_phase_aware_three_expert,True,success,5208,0.4822222222222222
proposed_phase_aware_three_expert,True,success+touchdown_event,39,0.003611111111111111
released_two_expert_selector,False,clearance,267,0.024722222222222222
released_two_expert_selector,False,clearance_ground+foot_ground_after_ready,189,0.0175
released_two_expert_selector,False,clearance_ground+foot_ground_bad_clearance,375,0.034722222222222224
released_two_expert_selector,False,clearance_ground+foot_ground_before_ready,4579,0.42398148148148146
released_two_expert_selector,False,clearance_ground+knee_ground,157,0.014537037037037038
released_two_expert_selector,False,q1_high_limit,1,9.259259259259259e-05
released_two_expert_selector,False,q1_low_limit,79,0.007314814814814815
released_two_expert_selector,False,q3_high_limit,4,0.00037037037037037035
released_two_expert_selector,False,speed,66,0.006111111111111111
released_two_expert_selector,True,success,5050,0.4675925925925926
released_two_expert_selector,True,success+touchdown_event,33,0.0030555555555555557
true_hard_mask,False,clearance,222,0.020555555555555556
true_hard_mask,False,clearance_ground+foot_ground_after_ready,190,0.017592592592592594
true_hard_mask,False,clearance_ground+foot_ground_bad_clearance,509,0.04712962962962963
true_hard_mask,False,clearance_ground+foot_ground_before_ready,4610,0.42685185185185187
true_hard_mask,False,clearance_ground+knee_ground,22,0.002037037037037037
true_hard_mask,False,q1_high_limit,2,0.00018518518518518518
true_hard_mask,False,q1_low_limit,107,0.009907407407407408
true_hard_mask,False,speed,108,0.01
true_hard_mask,True,success,5002,0.46314814814814814
true_hard_mask,True,success+touchdown_event,28,0.0025925925925925925
