scope,validity_definition,n_pairs,active_success_n,selector_success_n,active_success_rate,selector_success_rate,selector_minus_active_success_rate,active_valid_n,selector_valid_n,active_valid_rate,selector_valid_rate,selector_minus_active_valid_rate,both_valid_n,both_valid_rate,active_mean_cmt_both_valid,selector_mean_cmt_both_valid,mean_selector_minus_active_cmt,median_selector_minus_active_cmt,fraction_selector_lower_cmt,zero_torque_success_displacement_active_n,zero_torque_success_displacement_selector_n,selector_minus_active_success_rate_ci95_low,selector_minus_active_success_rate_ci95_high,selector_minus_active_valid_rate_ci95_low,selector_minus_active_valid_rate_ci95_high,both_valid_rate_ci95_low,both_valid_rate_ci95_high,mean_selector_minus_active_cmt_ci95_low,mean_selector_minus_active_cmt_ci95_high,fraction_selector_lower_cmt_ci95_low,fraction_selector_lower_cmt_ci95_high
batch01,A,2160,1002,985,0.4638888888888889,0.45601851851851855,-0.007870370370370361,488,521,0.22592592592592592,0.2412037037037037,0.015277777777777779,445,0.20601851851851852,1.6507447548495977,0.5276864246126679,-1.1230583302369297,-0.3613952440005236,0.8224719101123595,0,0,-0.018055555555555547,0.002314814814814825,0.006018518518518506,0.02453703703703705,0.18935185185185185,0.22223379629629633,-1.3849127326980897,-0.8970959123312127,0.7869901373975734,0.8562018600458867
batch01,B,2160,1002,985,0.4638888888888889,0.45601851851851855,-0.007870370370370361,488,521,0.22592592592592592,0.2412037037037037,0.015277777777777779,445,0.20601851851851852,1.6507447548495977,0.5276864246126679,-1.1230583302369297,-0.3613952440005236,0.8224719101123595,0,0,-0.018518518518518545,0.002777777777777768,0.005555555555555564,0.025000000000000022,0.18935185185185185,0.22314814814814815,-1.3917131703146322,-0.8898940050117963,0.7840163612153745,0.8558563552465992
batch02,A,2160,1003,967,0.46435185185185185,0.4476851851851852,-0.016666666666666663,476,492,0.22037037037037038,0.22777777777777777,0.00740740740740739,420,0.19444444444444445,1.6107962636422202,0.46897210091474295,-1.141824162727477,-0.2841425169711711,0.8,0,0,-0.027777777777777735,-0.005555555555555536,-0.0032407407407407385,0.01760416666666672,0.17777777777777778,0.2101851851851852,-1.3798032308984627,-0.9196748165587473,0.7614646055483786,0.8369360933271731
batch02,B,2160,1003,967,0.46435185185185185,0.4476851851851852,-0.016666666666666663,476,492,0.22037037037037038,0.22777777777777777,0.00740740740740739,420,0.19444444444444445,1.6107962636422202,0.46897210091474295,-1.141824162727477,-0.2841425169711711,0.8,0,0,-0.027777777777777735,-0.006018518518518479,-0.002314814814814825,0.017592592592592576,0.17824074074074073,0.2111111111111111,-1.3908155702138143,-0.9158993926875229,0.7621247113163973,0.8382030733641771
batch03,A,2160,1057,1033,0.48935185185185187,0.47824074074074074,-0.011111111111111127,525,538,0.24305555555555555,0.2490740740740741,0.006018518518518534,466,0.21574074074074073,1.5728260486896153,0.43928823278221746,-1.133537815907398,-0.4004568903924498,0.8369098712446352,0,0,-0.021759259259259256,-0.0009259259259258856,-0.00416666666666668,0.01574074074074075,0.1986111111111111,0.23333333333333334,-1.3988796319407326,-0.9063651237367706,0.802932057755337,0.8684224261070213
batch03,B,2160,1057,1033,0.48935185185185187,0.47824074074074074,-0.011111111111111127,525,538,0.24305555555555555,0.2490740740740741,0.006018518518518534,466,0.21574074074074073,1.5728260486896153,0.43928823278221746,-1.133537815907398,-0.4004568903924498,0.8369098712446352,0,0,-0.022222222222222254,0.0,-0.0046296296296296224,0.016203703703703692,0.1986111111111111,0.2324074074074074,-1.406261644691099,-0.9050131754448556,0.8031278438175407,0.8694800942902043
batch04,A,2160,1050,1004,0.4861111111111111,0.4648148148148148,-0.021296296296296313,525,527,0.24305555555555555,0.2439814814814815,0.0009259259259259411,457,0.21157407407407408,1.344971996622219,0.3229297315094462,-1.022042265112773,-0.29410552516688854,0.824945295404814,0,0,-0.032407407407407385,-0.010185185185185186,-0.009722222222222215,0.011122685185185242,0.19444444444444445,0.22870370370370371,-1.2307299062843162,-0.8369318143709532,0.7898064235740037,0.857825024866889
batch04,B,2160,1050,1004,0.4861111111111111,0.4648148148148148,-0.021296296296296313,525,527,0.24305555555555555,0.2439814814814815,0.0009259259259259411,457,0.21157407407407408,1.344971996622219,0.3229297315094462,-1.022042265112773,-0.29410552516688854,0.824945295404814,0,0,-0.03194444444444444,-0.010648148148148129,-0.009722222222222215,0.01157407407407407,0.19537037037037036,0.22824074074074074,-1.2301418985781276,-0.8389690586004841,0.7897846765824974,0.8577738512035011
batch05,A,2160,1031,1007,0.4773148148148148,0.46620370370370373,-0.011111111111111072,512,533,0.23703703703703705,0.24675925925925926,0.009722222222222215,456,0.2111111111111111,1.467829900828278,0.4821117855581924,-0.9857181152700857,-0.31311635186215353,0.8048245614035088,0,0,-0.021296296296296313,-0.0004629629629629428,-0.00046296296296297057,0.020370370370370372,0.19490740740740742,0.2273148148148148,-1.286606774688346,-0.7515263681443082,0.7692265795206972,0.8401850266362252
batch05,B,2160,1031,1007,0.4773148148148148,0.46620370370370373,-0.011111111111111072,512,533,0.23703703703703705,0.24675925925925926,0.009722222222222215,456,0.2111111111111111,1.467829900828278,0.4821117855581924,-0.9857181152700857,-0.31311635186215353,0.8048245614035088,0,0,-0.02083333333333337,-0.0009259259259259411,-0.00046296296296297057,0.020370370370370344,0.19398148148148148,0.22870370370370371,-1.2955209850383798,-0.7450222633438163,0.7685393258426966,0.840958605664488
pooled_raw_pairs,A,10800,5143,4996,0.4762037037037037,0.4625925925925926,-0.013611111111111074,2526,2611,0.2338888888888889,0.24175925925925926,0.007870370370370361,2244,0.20777777777777778,1.5276450189666726,0.4473791975613615,-1.0802658214053111,-0.33754869576721674,0.8181818181818182,0,0,-0.018243055555555592,-0.008796296296296302,0.0032407407407407654,0.012499999999999983,0.20036805555555556,0.21518518518518517,-1.1891212591451623,-0.9757601913177266,0.8016848878064039,0.8336429172311011
pooled_raw_pairs,B,10800,5143,4996,0.4762037037037037,0.4625925925925926,-0.013611111111111074,2526,2611,0.2338888888888889,0.24175925925925926,0.007870370370370361,2244,0.20777777777777778,1.5276450189666726,0.4473791975613615,-1.0802658214053111,-0.33754869576721674,0.8181818181818182,0,0,-0.01824074074074078,-0.00888888888888889,0.0034259259259259156,0.012407407407407395,0.20046296296296295,0.21518518518518517,-1.1955052000992465,-0.9790008037353688,0.8020402956935483,0.8336395018421181
