scope,validity_definition,n_pairs,active_success_n,selector_success_n,active_success_rate,selector_success_rate,selector_minus_active_success_rate,active_valid_n,selector_valid_n,active_valid_rate,selector_valid_rate,selector_minus_active_valid_rate,both_valid_n,both_valid_rate,active_mean_cmt_both_valid,selector_mean_cmt_both_valid,mean_selector_minus_active_cmt,median_selector_minus_active_cmt,fraction_selector_lower_cmt,zero_torque_success_displacement_active_n,zero_torque_success_displacement_selector_n
direction=-1;length=0.30;height=0.00,A,600,348,342,0.58,0.57,-0.010000000000000009,168,166,0.28,0.27666666666666667,-0.003333333333333355,153,0.255,1.156262003627833,0.3206313455696074,-0.8356306580582256,-0.5184981746420344,0.9019607843137255,0,0
direction=-1;length=0.30;height=0.00,B,600,348,342,0.58,0.57,-0.010000000000000009,168,166,0.28,0.27666666666666667,-0.003333333333333355,153,0.255,1.156262003627833,0.3206313455696074,-0.8356306580582256,-0.5184981746420344,0.9019607843137255,0,0
direction=-1;length=0.30;height=0.01,A,600,352,348,0.5866666666666667,0.58,-0.00666666666666671,178,168,0.2966666666666667,0.28,-0.016666666666666663,158,0.2633333333333333,1.4311080005139187,0.7188474280448717,-0.712260572469047,-0.3187029310230236,0.810126582278481,0,0
direction=-1;length=0.30;height=0.01,B,600,352,348,0.5866666666666667,0.58,-0.00666666666666671,178,168,0.2966666666666667,0.28,-0.016666666666666663,158,0.2633333333333333,1.4311080005139187,0.7188474280448717,-0.712260572469047,-0.3187029310230236,0.810126582278481,0,0
direction=-1;length=0.30;height=0.02,A,600,349,338,0.5816666666666667,0.5633333333333334,-0.018333333333333313,168,156,0.28,0.26,-0.020000000000000018,151,0.25166666666666665,1.3494109617668273,0.7151990103694048,-0.6342119513974224,-0.18661952587990652,0.8145695364238411,0,0
direction=-1;length=0.30;height=0.02,B,600,349,338,0.5816666666666667,0.5633333333333334,-0.018333333333333313,168,156,0.28,0.26,-0.020000000000000018,151,0.25166666666666665,1.3494109617668273,0.7151990103694048,-0.6342119513974224,-0.18661952587990652,0.8145695364238411,0,0
direction=-1;length=0.35;height=0.00,A,600,347,324,0.5783333333333334,0.54,-0.03833333333333333,165,148,0.275,0.24666666666666667,-0.02833333333333335,146,0.24333333333333335,1.260923558290618,0.4382516800380928,-0.8226718782525255,-0.4612631181587066,0.821917808219178,0,0
direction=-1;length=0.35;height=0.00,B,600,347,324,0.5783333333333334,0.54,-0.03833333333333333,165,148,0.275,0.24666666666666667,-0.02833333333333335,146,0.24333333333333335,1.260923558290618,0.4382516800380928,-0.8226718782525255,-0.4612631181587066,0.821917808219178,0,0
direction=-1;length=0.35;height=0.01,A,600,362,343,0.6033333333333334,0.5716666666666667,-0.03166666666666673,175,158,0.2916666666666667,0.2633333333333333,-0.028333333333333377,153,0.255,1.2857962998504349,0.5966391927592523,-0.6891571070911827,-0.15228043254960189,0.7320261437908496,0,0
direction=-1;length=0.35;height=0.01,B,600,362,343,0.6033333333333334,0.5716666666666667,-0.03166666666666673,175,158,0.2916666666666667,0.2633333333333333,-0.028333333333333377,153,0.255,1.2857962998504349,0.5966391927592523,-0.6891571070911827,-0.15228043254960189,0.7320261437908496,0,0
direction=-1;length=0.35;height=0.02,A,600,366,356,0.61,0.5933333333333334,-0.016666666666666607,171,168,0.285,0.28,-0.004999999999999949,158,0.2633333333333333,1.5361647400637704,0.8246005810778523,-0.7115641589859182,-0.06333641394676916,0.6962025316455697,0,0
direction=-1;length=0.35;height=0.02,B,600,366,356,0.61,0.5933333333333334,-0.016666666666666607,171,168,0.285,0.28,-0.004999999999999949,158,0.2633333333333333,1.5361647400637704,0.8246005810778523,-0.7115641589859182,-0.06333641394676916,0.6962025316455697,0,0
direction=-1;length=0.40;height=0.00,A,600,354,329,0.59,0.5483333333333333,-0.04166666666666663,145,136,0.24166666666666667,0.22666666666666666,-0.015000000000000013,133,0.22166666666666668,1.3888728758180073,0.5067210676882652,-0.8821518081297425,-0.3119148914626164,0.8421052631578947,0,0
direction=-1;length=0.40;height=0.00,B,600,354,329,0.59,0.5483333333333333,-0.04166666666666663,145,136,0.24166666666666667,0.22666666666666666,-0.015000000000000013,133,0.22166666666666668,1.3888728758180073,0.5067210676882652,-0.8821518081297425,-0.3119148914626164,0.8421052631578947,0,0
direction=-1;length=0.40;height=0.01,A,600,373,359,0.6216666666666667,0.5983333333333334,-0.023333333333333317,169,163,0.2816666666666667,0.27166666666666667,-0.010000000000000009,153,0.255,1.7353284995003826,0.7873523301892823,-0.9479761693111001,-0.338869084220361,0.7908496732026143,0,0
direction=-1;length=0.40;height=0.01,B,600,373,359,0.6216666666666667,0.5983333333333334,-0.023333333333333317,169,163,0.2816666666666667,0.27166666666666667,-0.010000000000000009,153,0.255,1.7353284995003826,0.7873523301892823,-0.9479761693111001,-0.338869084220361,0.7908496732026143,0,0
direction=-1;length=0.40;height=0.02,A,600,378,366,0.63,0.61,-0.020000000000000018,151,149,0.25166666666666665,0.24833333333333332,-0.003333333333333327,143,0.23833333333333334,1.5677566208049147,0.7628339463884444,-0.80492267441647,-0.15351002285757104,0.6853146853146853,0,0
direction=-1;length=0.40;height=0.02,B,600,378,366,0.63,0.61,-0.020000000000000018,151,149,0.25166666666666665,0.24833333333333332,-0.003333333333333327,143,0.23833333333333334,1.5677566208049147,0.7628339463884444,-0.80492267441647,-0.15351002285757104,0.6853146853146853,0,0
