seed,episode_index,schedule,steps,initial_selector_sign,initial_selector_confidence,sign_switch_count,positive_sign_steps,negative_sign_steps,sign_sequence,sign_sequence_rle
20260702,1,hold,8,+,0.7252114415168762,0,8,0,++++++++,+x8
20260702,2,hold,25,+,0.9850940704345703,0,25,0,+++++++++++++++++++++++++,+x25
20260702,3,hold,23,+,0.9961293935775757,0,23,0,+++++++++++++++++++++++,+x23
20260702,4,hold,6,+,0.7624968886375427,0,6,0,++++++,+x6
20260702,5,hold,13,+,0.9942305088043213,0,13,0,+++++++++++++,+x13
20260702,6,hold,2,+,0.7146410942077637,0,2,0,++,+x2
20260702,7,hold,13,+,0.983146607875824,0,13,0,+++++++++++++,+x13
20260702,8,hold,23,+,0.9712029099464417,0,23,0,+++++++++++++++++++++++,+x23
20260702,9,hold,3,+,0.937215268611908,0,3,0,+++,+x3
20260702,10,hold,8,-,0.9992626309394836,0,0,8,--------,-x8
20260702,11,hold,25,+,0.9933927655220032,0,25,0,+++++++++++++++++++++++++,+x25
20260702,12,hold,10,+,0.7177350521087646,0,10,0,++++++++++,+x10
20260702,13,hold,12,-,0.9970505237579346,0,0,12,------------,-x12
20260702,14,hold,7,-,0.9203827977180481,0,0,7,-------,-x7
20260702,15,hold,9,-,0.6275936961174011,0,0,9,---------,-x9
20260702,16,hold,8,+,0.7976948022842407,0,8,0,++++++++,+x8
20260702,17,hold,12,+,0.7822593450546265,0,12,0,++++++++++++,+x12
20260702,18,hold,6,+,0.8143894672393799,0,6,0,++++++,+x6
20260702,19,hold,14,+,0.9947543144226074,0,14,0,++++++++++++++,+x14
20260702,20,hold,6,+,0.7435641288757324,0,6,0,++++++,+x6
20260702,21,hold,8,-,0.9931672215461731,0,0,8,--------,-x8
20260702,22,hold,16,+,0.9940502047538757,0,16,0,++++++++++++++++,+x16
20260702,23,hold,23,+,0.595910370349884,0,23,0,+++++++++++++++++++++++,+x23
20260702,24,hold,20,+,0.986003577709198,0,20,0,++++++++++++++++++++,+x20
20260702,25,hold,14,+,0.997142493724823,0,14,0,++++++++++++++,+x14
20260702,26,hold,11,+,0.9972628355026245,0,11,0,+++++++++++,+x11
20260702,27,hold,12,+,0.9183482527732849,0,12,0,++++++++++++,+x12
20260702,28,hold,23,+,0.9789493083953857,0,23,0,+++++++++++++++++++++++,+x23
20260702,29,hold,13,+,0.9984896183013916,0,13,0,+++++++++++++,+x13
20260702,30,hold,7,-,0.977253794670105,0,0,7,-------,-x7
