hold_terminal_reason,requery_terminal_reason,count
clearance,clearance,45
clearance,clearance_ground+foot_ground_bad_clearance,13
clearance,clearance_ground+foot_ground_before_ready,2
clearance,success,1
clearance_ground+foot_ground_after_ready,clearance_ground+foot_ground_after_ready,20
clearance_ground+foot_ground_after_ready,clearance_ground+foot_ground_bad_clearance,2
clearance_ground+foot_ground_after_ready,clearance_ground+foot_ground_before_ready,13
clearance_ground+foot_ground_after_ready,success,1
clearance_ground+foot_ground_bad_clearance,clearance,5
clearance_ground+foot_ground_bad_clearance,clearance_ground+foot_ground_bad_clearance,76
clearance_ground+foot_ground_bad_clearance,clearance_ground+foot_ground_before_ready,2
clearance_ground+foot_ground_bad_clearance,speed,2
clearance_ground+foot_ground_before_ready,clearance,12
clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_bad_clearance,44
clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,870
clearance_ground+foot_ground_before_ready,clearance_ground+knee_ground,6
clearance_ground+foot_ground_before_ready,q1_low_limit,1
clearance_ground+foot_ground_before_ready,speed,3
clearance_ground+foot_ground_before_ready,success,14
clearance_ground+knee_ground,clearance_ground+foot_ground_before_ready,22
clearance_ground+knee_ground,clearance_ground+knee_ground,10
q1_high_limit,clearance_ground+foot_ground_before_ready,1
q1_low_limit,clearance,3
q1_low_limit,clearance_ground+foot_ground_bad_clearance,2
q1_low_limit,clearance_ground+foot_ground_before_ready,8
q1_low_limit,q1_low_limit,7
q1_low_limit+q3_high_limit,clearance_ground+foot_ground_before_ready,1
q3_high_limit,clearance_ground+foot_ground_bad_clearance,1
speed,clearance,1
speed,clearance_ground+foot_ground_before_ready,6
speed,speed,2
success,clearance_ground+foot_ground_after_ready,11
success,clearance_ground+foot_ground_bad_clearance,3
success,clearance_ground+foot_ground_before_ready,71
success,clearance_ground+knee_ground,1
success,success,875
success+touchdown_event,clearance_ground+foot_ground_bad_clearance,1
success+touchdown_event,success+touchdown_event,2
